layer,source,formula_or_contract,rows_in_scope,rows_replayed,wrong_rows_rejected,free_parameters,mutation_status,caveat_preserved,status
base_35_row_mass_chain,CR061a/CR062a/CR064a,QP075 35-row mass-chain replay; observed masses reveal-only residual column,35,35,,0,NO_MUTATION,"Observed masses are reveal-only residuals, not construction inputs.",PASS
row_by_row_particle_ledger,CR062a,All 35 ledger rows retained; no row deletion; PDG/lattice residuals exposed,35,35,,0,NO_ROW_DELETION,Residual range is reported rather than optimized away.,PASS
finite_particle_vault,CR119,"321 particle rows, 126 matter rows, 126 periodic rows; known labels reveal-only",321,321,2,0,NO_TARGET_LABEL_INPUT,Known labels are downstream reveal only; periodic/isotope audit deferred to LC05.,PASS
bound_color_pair_mass_law,CR128,"M_native(a,b)=R*a*b + D*abs(a-b)",36,36,7,0,NO_CONSTANT_MUTATION,"{'applied_utc': '2026-06-17T23:34:33Z', 'driving_appeal_cr': 'CR-142', 'driving_audit_verdict_sha256': '2fe572d5efbb566043bf5a8abfa8404438ba9ebc2097fce51388fcca23b40661', 'qualifier_type': 'HEADLINE_IN_SAMPLE_DISCLOSURE', 'verdict_unchanged': True, 'qualifier_summary': 'Law extracted inductively from CR-119 catalog; reported in-sample match is GENERATOR CONSISTENCY against training data, not first-principles derivation. Forward-blind falsifier (PRED_1) commits the law to forward-blind testing on future rows. Existing WC3-equivalent wrong control carries the full disclosure; this qualifier surfaces it to the headline level.', 'audit_finding_tier': 'Tier 2 PASS_WITH_REWORD (headline visibility of in-sample qualifier)', 'archive_path': 'archive/2026-06-17_CR135_audit_regrades/CR142_qualifier_sweep/CR128_BOUND_COLOR_PAIR_MASS_LAW_V1/', 'pre_qualifier_result_md_sha256': '4fca02422c0302712d1cfb1c4e34a93fabeba9651b11d3c2f52d77fb04f40b1f', 'pre_qualifier_summary_json_sha256': 'ef0ab18c554b327c8c7a822671dc8fa2ecb7c74b59e2e1d00e7b432e5ce438aa', 'predecessor_appeal_cr': 'CR-141 (self-hash repair; pre-qualifier state is the post-CR141 state)'}",PASS
bound_color_pair_surface_debit_law,CR128b,|S_debit|=M_native*(abs(a-b)+D)/R^4; asymmetric rows only,30,30,6,0,NO_FORMULA_MUTATION,"{'applied_utc': '2026-06-17T23:34:33Z', 'driving_appeal_cr': 'CR-142', 'driving_audit_verdict_sha256': '2fe572d5efbb566043bf5a8abfa8404438ba9ebc2097fce51388fcca23b40661', 'qualifier_type': 'HEADLINE_IN_SAMPLE_DISCLOSURE', 'verdict_unchanged': True, 'qualifier_summary': 'Law extracted inductively from CR-119 catalog; reported in-sample match is GENERATOR CONSISTENCY against training data, not first-principles derivation. Forward-blind falsifier (PRED_1) commits the law to forward-blind testing on future rows. Existing WC3-equivalent wrong control carries the full disclosure; this qualifier surfaces it to the headline level.', 'audit_finding_tier': 'Tier 2 PASS_WITH_REWORD (headline visibility of in-sample qualifier)', 'archive_path': 'archive/2026-06-17_CR135_audit_regrades/CR142_qualifier_sweep/CR128b_BOUND_COLOR_PAIR_S_DEBIT_LAW_V1/', 'pre_qualifier_result_md_sha256': 'bd985cefbb3def3b436ebf5274d73919f707c99252284d64d492a755e104040d', 'pre_qualifier_summary_json_sha256': '64a1776d914db8b333d004e73ec6fb8d3027efc9f9026206b3ac2fd56d5a8eb6', 'predecessor_appeal_cr': 'CR-141 (self-hash repair; pre-qualifier state is the post-CR141 state)'}",PASS
octet_composite_3body_mass_law,CR129,"M_native(a,b,c)=R*D*(a^2+b^2+c^2); 2-body OCTET rows checked by CR128 law",76,76,7,0,NO_CONSTANT_MUTATION,"{'applied_utc': '2026-06-17T23:34:33Z', 'driving_appeal_cr': 'CR-142', 'driving_audit_verdict_sha256': '2fe572d5efbb566043bf5a8abfa8404438ba9ebc2097fce51388fcca23b40661', 'qualifier_type': 'HEADLINE_IN_SAMPLE_DISCLOSURE', 'verdict_unchanged': True, 'qualifier_summary': 'Law extracted inductively from CR-119 catalog; reported in-sample match is GENERATOR CONSISTENCY against training data, not first-principles derivation. Forward-blind falsifier (PRED_1) commits the law to forward-blind testing on future rows. Existing WC3-equivalent wrong control carries the full disclosure; this qualifier surfaces it to the headline level.', 'audit_finding_tier': 'Tier 2 PASS_WITH_REWORD (headline visibility of in-sample qualifier)', 'archive_path': 'archive/2026-06-17_CR135_audit_regrades/CR142_qualifier_sweep/CR129_OCTET_COMPOSITE_3BODY_MASS_LAW_V1/', 'pre_qualifier_result_md_sha256': 'fdac1eabf889c094d44d6c12bf0b592306f7786f74a52a3c11223120ddf354e9', 'pre_qualifier_summary_json_sha256': '505e2aa33eac613928f74852afc9b01b2eebbbb2963cbd563641fcbbca58a78e', 'predecessor_appeal_cr': 'CR-141 (self-hash repair; pre-qualifier state is the post-CR141 state)'}",PASS
three_body_surface_debit_magnitude_law,CR129b,"|S_3body|=M_native*(4*q_eff + D)/(4*R^4), q_eff=R for q_abs=0 else q_abs",76,76,7,0,NO_Q_RELABEL,"{'applied_utc': '2026-06-17T23:34:33Z', 'driving_appeal_cr': 'CR-142', 'driving_audit_verdict_sha256': '2fe572d5efbb566043bf5a8abfa8404438ba9ebc2097fce51388fcca23b40661', 'qualifier_type': 'HEADLINE_IN_SAMPLE_DISCLOSURE', 'verdict_unchanged': True, 'qualifier_summary': 'Law extracted inductively from CR-119 catalog; reported in-sample match is GENERATOR CONSISTENCY against training data, not first-principles derivation. Forward-blind falsifier (PRED_1) commits the law to forward-blind testing on future rows. Existing WC3-equivalent wrong control carries the full disclosure; this qualifier surfaces it to the headline level.', 'audit_finding_tier': 'Tier 2 PASS_WITH_REWORD (headline visibility of in-sample qualifier)', 'archive_path': 'archive/2026-06-17_CR135_audit_regrades/CR142_qualifier_sweep/CR129b_3BODY_S_DEBIT_MAGNITUDE_LAW_V1/', 'pre_qualifier_result_md_sha256': 'be49c1e301a1741e4daa9350db10eb36ce61c02f462271690ecdad1e73c4b715', 'pre_qualifier_summary_json_sha256': 'd68ac1673043bafe3431c57c515220ee3e6903d85a1eb17a8a0c125a29f858ca', 'predecessor_appeal_cr': 'CR-141 (self-hash repair; pre-qualifier state is the post-CR141 state)'}",PASS
universal_3body_generator_ground_baryon,CR129c,R*D*sum_squares universal 3-body generator over OCTET plus GROUND_BARYON,120,120,6,0,NO_CLASS_DELETION,"{'applied_utc': '2026-06-17T23:34:33Z', 'driving_appeal_cr': 'CR-142', 'driving_audit_verdict_sha256': '2fe572d5efbb566043bf5a8abfa8404438ba9ebc2097fce51388fcca23b40661', 'qualifier_type': 'HEADLINE_IN_SAMPLE_DISCLOSURE', 'verdict_unchanged': True, 'qualifier_summary': 'Law extracted inductively from CR-119 catalog; reported in-sample match is GENERATOR CONSISTENCY against training data, not first-principles derivation. Forward-blind falsifier (PRED_1) commits the law to forward-blind testing on future rows. Existing WC3-equivalent wrong control carries the full disclosure; this qualifier surfaces it to the headline level.', 'audit_finding_tier': 'Tier 2 PASS_WITH_REWORD (headline visibility of in-sample qualifier)', 'archive_path': 'archive/2026-06-17_CR135_audit_regrades/CR142_qualifier_sweep/CR129c_3BODY_UNIVERSAL_GENERATOR_GROUND_BARYON/', 'pre_qualifier_result_md_sha256': '7d9f2c7342252a9b60d63086400fe8153f71fec41ec9953852ba0760a2333a6a', 'pre_qualifier_summary_json_sha256': 'e5d597a13d89a444f51e25550e564d75b958ca08a329969a95fcb0dd6c75079d', 'predecessor_appeal_cr': 'CR-141 (self-hash repair; pre-qualifier state is the post-CR141 state)'}",PASS
two_body_three_body_structural_bridge,CR130,M3=R*D*sum_squares = R*(s1^2 + Delta^2) identity check,76,76,6,0,NO_4BODY_PROMOTION,"4-body expression remains forward-blind conjecture only; {'applied_utc': '2026-06-17T23:34:33Z', 'driving_appeal_cr': 'CR-142', 'driving_audit_verdict_sha256': '2fe572d5efbb566043bf5a8abfa8404438ba9ebc2097fce51388fcca23b40661', 'qualifier_type': 'HEADLINE_IN_SAMPLE_DISCLOSURE', 'verdict_unchanged': True, 'qualifier_summary': 'Law extracted inductively from CR-119 catalog; reported in-sample match is GENERATOR CONSISTENCY against training data, not first-principles derivation. Forward-blind falsifier (PRED_1) commits the law to forward-blind testing on future rows. Existing WC3-equivalent wrong control carries the full disclosure; this qualifier surfaces it to the headline level.', 'audit_finding_tier': 'Tier 2 PASS_WITH_REWORD (headline visibility of in-sample qualifier)', 'archive_path': 'archive/2026-06-17_CR135_audit_regrades/CR142_qualifier_sweep/CR130_2BODY_3BODY_STRUCTURAL_BRIDGE/', 'pre_qualifier_result_md_sha256': 'd798ea72439606b0ddb5b241e30ea0555cd04a8ee6ff605357dc6c03184e498a', 'pre_qualifier_summary_json_sha256': '8189ad23dc91047cfddf8a8b63b45e62ed80af94868e966c77b3de1f27c08eea', 'predecessor_appeal_cr': 'CR-141 (self-hash repair; pre-qualifier state is the post-CR141 state)'}",PASS
single_write_fermion_ladder,CR131,"M_native=q_abs*R^closure_depth*K(q_sign, stability_status)",90,90,6,0,NO_K_RELABEL,"{'applied_utc': '2026-06-17T23:34:33Z', 'driving_appeal_cr': 'CR-142', 'driving_audit_verdict_sha256': '2fe572d5efbb566043bf5a8abfa8404438ba9ebc2097fce51388fcca23b40661', 'qualifier_type': 'HEADLINE_IN_SAMPLE_DISCLOSURE', 'verdict_unchanged': True, 'qualifier_summary': 'Law extracted inductively from CR-119 catalog; reported in-sample match is GENERATOR CONSISTENCY against training data, not first-principles derivation. Forward-blind falsifier (PRED_1) commits the law to forward-blind testing on future rows. Existing WC3-equivalent wrong control carries the full disclosure; this qualifier surfaces it to the headline level.', 'audit_finding_tier': 'Tier 2 PASS_WITH_REWORD (headline visibility of in-sample qualifier)', 'archive_path': 'archive/2026-06-17_CR135_audit_regrades/CR142_qualifier_sweep/CR131_V4_1_SINGLE_WRITE_FERMION_LADDER_LAW_V1/', 'pre_qualifier_result_md_sha256': 'bddf0562c5bdd7bb0b0f4371ddbf7a3dc800d7e31be9ca95e7a7a22b1cf63cd6', 'pre_qualifier_summary_json_sha256': '180eb2e8f8dbe12dbe87b2f641cd1e035239e30f5babf88e73b995e6ab3fee3d', 'predecessor_appeal_cr': 'CR-141 (self-hash repair; pre-qualifier state is the post-CR141 state)'}",PASS
