control_id,expected_rejection,observed,control_behaved_as_expected
OLD_32_SUPPORT_COMPLEMENT_SELECTOR,not_connected_and_24_anti_incidences,"components=[9, 6, 6, 6];anti=24",True
H27_DELETE_FACE_EDGE_LAYER,32_links_but_components_18_plus_9,"links=32;components=[18, 9]",True
ALTERNATIVE_VALID_12_6_SPLITS,frozen_split_not_unique,63 alternatives per block/parity,True
MISSING_AXIS_ROUTE_EDGE_MAP,route_point_not_incident,unique_edges=12;incident_anchors=0/12,True
ROUTE_ONLY_K12,K18_incomplete,12,True
POINT_ONLY_K6,K18_incomplete,6,True
WRONG_RADIX_E10_PLUS_V6,9_times_16_not_162,144,True
CUBE_DUAL_SWAP,wrong_V_E_F_and_54_links,V8_E12_F6_nodes27_links54,True
PADDED_TETRAHEDRON,links28_components13,nodes27_links28_components13,True
NO_BOUNDARY_PAIRING,union162_not144,union162,True
MANY_TO_ONE_BOUNDARY_COLLAPSE,not_18_bijection_classes,six_classes,True
ADJACENT_R_PLUS_1_PAIRING,dimension_not_preserved,dimension_changes_for_all_boundary_occurrences,True
SAME_KIND_ANTIPODAL_COMPARATOR,not_rejected_by_counts_orientation_open,same_81_81_18_144_126_162_ladder,False
GLOBAL_SIDE_REVERSAL,must_not_change_structural_result,edge_set_preserved=True,True
SIGNED_AXIS_AUTOMORPHISMS_48,must_not_select_axis_labels,preserved=48/48,True
CENTERED_TERNARY_IDENTITY_PROMOTION,constructed_label_not_source_topology,rank_counts_exact_but_assignment_constructed,True
