sample,x_plus,y_plus,radius,signed_quadrupole_second_difference
80,17/16,0,17/16,-9113/1024
81,0,67/64,67/64,71569/8192
82,-131/128,0,131/128,-68919/8192
83,0,-129/128,129/128,66827/8192
84,1,0,1,-65793/8192
85,0,1,1,8
86,-1,0,1,-8
87,0,-1,1,8
88,1,0,1,-8
89,0,1,1,8
90,-1,0,1,-8
91,0,-1,1,8
92,1,0,1,-8
93,0,1,1,8
94,-1,0,1,-8
95,0,-1,1,8
96,1,0,1,-8
97,0,1,1,8
98,-1,0,1,-8
99,0,-1,1,8
100,1,0,1,-8
101,0,1,1,8
102,-1,0,1,-8
103,0,-1,1,8
104,1,0,1,-8
105,0,1,1,8
106,-1,0,1,-8
107,0,-1,1,8
108,1,0,1,-65793/8192
109,0,129/128,129/128,66827/8192
110,-131/128,0,131/128,-68919/8192
111,0,-67/64,67/64,71569/8192
112,17/16,0,17/16,-9113/1024
113,0,67/64,67/64,71569/8192
114,-131/128,0,131/128,-68919/8192
115,0,-129/128,129/128,66827/8192
116,1,0,1,-65793/8192
117,0,1,1,8
118,-1,0,1,-8
119,0,-1,1,8
120,1,0,1,-8
121,0,1,1,8
122,-1,0,1,-8
123,0,-1,1,8
124,1,0,1,-8
125,0,1,1,8
126,-1,0,1,-8
127,0,-1,1,8
128,1,0,1,-8
129,0,1,1,8
130,-1,0,1,-8
131,0,-1,1,8
132,1,0,1,-8
133,0,1,1,8
134,-1,0,1,-8
135,0,-1,1,8
136,1,0,1,-8
137,0,1,1,8
138,-1,0,1,-8
139,0,-1,1,8
140,1,0,1,-8
141,0,1,1,8
142,-1,0,1,-8
143,0,-1,1,8
144,1,0,1,-8
145,0,1,1,8
146,-1,0,1,-8
147,0,-1,1,8
148,1,0,1,-8
149,0,1,1,8
150,-1,0,1,-8
151,0,-1,1,8
152,1,0,1,-8
153,0,1,1,8
154,-1,0,1,-8
155,0,-1,1,8
156,1,0,1,-8
157,0,1,1,8
158,-1,0,1,-8
159,0,-1,1,8
160,1,0,1,-8
161,0,1,1,8
162,-1,0,1,-8
163,0,-1,1,8
164,1,0,1,-8
165,0,1,1,8
166,-1,0,1,-8
167,0,-1,1,8
168,1,0,1,-8
169,0,1,1,8
170,-1,0,1,-8
171,0,-1,1,8
172,1,0,1,-8
173,0,1,1,8
174,-1,0,1,-8
175,0,-1,1,8
176,1,0,1,-8
177,0,1,1,8
178,-1,0,1,-8
179,0,-1,1,8
180,1,0,1,-8
181,0,1,1,8
182,-1,0,1,-8
183,0,-1,1,8
184,1,0,1,-8
185,0,1,1,8
186,-1,0,1,-8
187,0,-1,1,8
188,1,0,1,-65793/8192
189,0,129/128,129/128,66827/8192
190,-131/128,0,131/128,-68919/8192
191,0,-67/64,67/64,71569/8192
192,17/16,0,17/16,-9113/1024
193,0,67/64,67/64,71569/8192
194,-131/128,0,131/128,-68919/8192
195,0,-129/128,129/128,66827/8192
196,1,0,1,-65793/8192
197,0,1,1,8
198,-1,0,1,-8
199,0,-1,1,8
200,1,0,1,-8
201,0,1,1,8
202,-1,0,1,-8
203,0,-1,1,8
204,1,0,1,-8
205,0,1,1,8
206,-1,0,1,-8
207,0,-1,1,8
208,1,0,1,-8
209,0,1,1,8
210,-1,0,1,-8
211,0,-1,1,8
212,1,0,1,-8
213,0,1,1,8
214,-1,0,1,-8
215,0,-1,1,8
216,1,0,1,-8
217,0,1,1,8
218,-1,0,1,-8
219,0,-1,1,8
220,1,0,1,-8
221,0,1,1,8
222,-1,0,1,-8
223,0,-1,1,8
224,1,0,1,-8
225,0,1,1,8
226,-1,0,1,-8
227,0,-1,1,8
228,1,0,1,-8
229,0,1,1,8
230,-1,0,1,-8
231,0,-1,1,8
232,1,0,1,-8
233,0,1,1,8
234,-1,0,1,-8
235,0,-1,1,8
236,1,0,1,-8
237,0,1,1,8
238,-1,0,1,-8
239,0,-1,1,8
240,1,0,1,-8
241,0,1,1,8
242,-1,0,1,-8
243,0,-1,1,8
244,1,0,1,-8
245,0,1,1,8
246,-1,0,1,-8
247,0,-1,1,8
248,1,0,1,-8
249,0,1,1,8
250,-1,0,1,-8
251,0,-1,1,8
252,1,0,1,-8
253,0,1,1,8
254,-1,0,1,-8
255,0,-1,1,8
256,1,0,1,-8
257,0,1,1,8
258,-1,0,1,-8
259,0,-1,1,8
260,1,0,1,-8
261,0,1,1,8
262,-1,0,1,-8
263,0,-1,1,8
264,1,0,1,-8
265,0,1,1,8
266,-1,0,1,-8
267,0,-1,1,8
268,1,0,1,-8
269,0,1,1,8
270,-1,0,1,-8
271,0,-1,1,8
272,1,0,1,-8
273,0,1,1,8
274,-1,0,1,-8
275,0,-1,1,8
276,1,0,1,-8
277,0,1,1,8
278,-1,0,1,-8
279,0,-1,1,8
280,1,0,1,-8
281,0,1,1,8
282,-1,0,1,-8
283,0,-1,1,8
284,1,0,1,-8
285,0,1,1,8
286,-1,0,1,-8
287,0,-1,1,8
288,1,0,1,-8
289,0,1,1,8
290,-1,0,1,-8
291,0,-1,1,8
292,1,0,1,-8
293,0,1,1,8
294,-1,0,1,-8
295,0,-1,1,8
296,1,0,1,-8
297,0,1,1,8
298,-1,0,1,-8
299,0,-1,1,8
300,1,0,1,-65793/8192
301,0,129/128,129/128,66827/8192
302,-131/128,0,131/128,-68919/8192
303,0,-67/64,67/64,71569/8192
304,17/16,0,17/16,-9113/1024
305,0,67/64,67/64,71569/8192
306,-131/128,0,131/128,-68919/8192
307,0,-129/128,129/128,66827/8192
308,1,0,1,-65793/8192
309,0,1,1,8
310,-1,0,1,-8
311,0,-1,1,8
312,1,0,1,-8
313,0,1,1,8
314,-1,0,1,-8
315,0,-1,1,8
316,1,0,1,-8
317,0,1,1,8
318,-1,0,1,-8
319,0,-1,1,8
320,1,0,1,-8
321,0,1,1,8
322,-1,0,1,-8
323,0,-1,1,8
324,1,0,1,-8
325,0,1,1,8
326,-1,0,1,-8
327,0,-1,1,8
328,1,0,1,-8
329,0,1,1,8
330,-1,0,1,-8
331,0,-1,1,8
332,1,0,1,-8
333,0,1,1,8
334,-1,0,1,-8
335,0,-1,1,8
336,1,0,1,-8
337,0,1,1,8
338,-1,0,1,-8
339,0,-1,1,8
340,1,0,1,-8
341,0,1,1,8
342,-1,0,1,-8
343,0,-1,1,8
344,1,0,1,-8
345,0,1,1,8
346,-1,0,1,-8
347,0,-1,1,8
348,1,0,1,-8
349,0,1,1,8
350,-1,0,1,-8
351,0,-1,1,8
352,1,0,1,-8
353,0,1,1,8
354,-1,0,1,-8
355,0,-1,1,8
356,1,0,1,-8
357,0,1,1,8
358,-1,0,1,-8
359,0,-1,1,8
360,1,0,1,-8
361,0,1,1,8
362,-1,0,1,-8
363,0,-1,1,8
364,1,0,1,-8
365,0,1,1,8
366,-1,0,1,-8
367,0,-1,1,8
368,1,0,1,-8
369,0,1,1,8
370,-1,0,1,-8
371,0,-1,1,8
372,1,0,1,-8
373,0,1,1,8
374,-1,0,1,-8
375,0,-1,1,8
376,1,0,1,-8
377,0,1,1,8
378,-1,0,1,-8
379,0,-1,1,8
380,1,0,1,-8
381,0,1,1,8
382,-1,0,1,-8
383,0,-1,1,8
384,1,0,1,-8
385,0,1,1,8
386,-1,0,1,-8
387,0,-1,1,8
388,1,0,1,-8
389,0,1,1,8
390,-1,0,1,-8
391,0,-1,1,8
392,1,0,1,-8
393,0,1,1,8
394,-1,0,1,-8
395,0,-1,1,8
396,1,0,1,-8
397,0,1,1,8
398,-1,0,1,-8
399,0,-1,1,8
400,1,0,1,-8
401,0,1,1,8
402,-1,0,1,-8
403,0,-1,1,8
404,1,0,1,-8
405,0,1,1,8
406,-1,0,1,-8
407,0,-1,1,8
408,1,0,1,-8
409,0,1,1,8
410,-1,0,1,-8
411,0,-1,1,8
412,1,0,1,-8
413,0,1,1,8
414,-1,0,1,-8
415,0,-1,1,8
416,1,0,1,-8
417,0,1,1,8
418,-1,0,1,-8
419,0,-1,1,8
420,1,0,1,-8
421,0,1,1,8
422,-1,0,1,-8
423,0,-1,1,8
424,1,0,1,-8
425,0,1,1,8
426,-1,0,1,-8
427,0,-1,1,8
428,1,0,1,-8
429,0,1,1,8
430,-1,0,1,-8
431,0,-1,1,8
432,1,0,1,-8
433,0,1,1,8
434,-1,0,1,-8
435,0,-1,1,8
436,1,0,1,-8
437,0,1,1,8
438,-1,0,1,-8
439,0,-1,1,8
440,1,0,1,-8
441,0,1,1,8
442,-1,0,1,-8
443,0,-1,1,8
444,1,0,1,-8
445,0,1,1,8
446,-1,0,1,-8
447,0,-1,1,8
448,1,0,1,-8
449,0,1,1,8
450,-1,0,1,-8
451,0,-1,1,8
452,1,0,1,-8
453,0,1,1,8
454,-1,0,1,-8
455,0,-1,1,8
456,1,0,1,-8
457,0,1,1,8
458,-1,0,1,-8
459,0,-1,1,8
460,1,0,1,-8
461,0,1,1,8
462,-1,0,1,-8
463,0,-1,1,8
464,1,0,1,-8
465,0,1,1,8
466,-1,0,1,-8
467,0,-1,1,8
468,1,0,1,-8
469,0,1,1,8
470,-1,0,1,-8
471,0,-1,1,8
472,1,0,1,-8
473,0,1,1,8
474,-1,0,1,-8
475,0,-1,1,8
476,1,0,1,-65793/8192
477,0,129/128,129/128,66827/8192
478,-131/128,0,131/128,-68919/8192
479,0,-67/64,67/64,71569/8192
480,17/16,0,17/16,-9113/1024
481,0,67/64,67/64,71569/8192
482,-131/128,0,131/128,-68919/8192
483,0,-129/128,129/128,66827/8192
484,1,0,1,-65793/8192
485,0,1,1,8
486,-1,0,1,-8
487,0,-1,1,8
488,1,0,1,-8
489,0,1,1,8
490,-1,0,1,-8
491,0,-1,1,8
492,1,0,1,-8
493,0,1,1,8
494,-1,0,1,-8
495,0,-1,1,8
496,1,0,1,-8
497,0,1,1,8
498,-1,0,1,-8
499,0,-1,1,8
500,1,0,1,-8
501,0,1,1,8
502,-1,0,1,-8
503,0,-1,1,8
504,1,0,1,-8
505,0,1,1,8
506,-1,0,1,-8
507,0,-1,1,8
508,1,0,1,-8
509,0,1,1,8
510,-1,0,1,-8
511,0,-1,1,8
512,1,0,1,-8
513,0,1,1,8
514,-1,0,1,-8
515,0,-1,1,8
516,1,0,1,-8
517,0,1,1,8
518,-1,0,1,-8
519,0,-1,1,8
520,1,0,1,-8
521,0,1,1,8
522,-1,0,1,-8
523,0,-1,1,8
524,1,0,1,-8
525,0,1,1,8
526,-1,0,1,-8
527,0,-1,1,8
528,1,0,1,-8
529,0,1,1,8
530,-1,0,1,-8
531,0,-1,1,8
532,1,0,1,-8
533,0,1,1,8
534,-1,0,1,-8
535,0,-1,1,8
536,1,0,1,-8
537,0,1,1,8
538,-1,0,1,-8
539,0,-1,1,8
540,1,0,1,-8
541,0,1,1,8
542,-1,0,1,-8
543,0,-1,1,8
544,1,0,1,-8
545,0,1,1,8
546,-1,0,1,-8
547,0,-1,1,8
548,1,0,1,-8
549,0,1,1,8
550,-1,0,1,-8
551,0,-1,1,8
552,1,0,1,-8
553,0,1,1,8
554,-1,0,1,-8
555,0,-1,1,8
556,1,0,1,-8
557,0,1,1,8
558,-1,0,1,-8
559,0,-1,1,8
560,1,0,1,-8
561,0,1,1,8
562,-1,0,1,-8
563,0,-1,1,8
564,1,0,1,-8
565,0,1,1,8
566,-1,0,1,-8
567,0,-1,1,8
568,1,0,1,-8
569,0,1,1,8
570,-1,0,1,-8
571,0,-1,1,8
572,1,0,1,-8
573,0,1,1,8
574,-1,0,1,-8
575,0,-1,1,8
576,1,0,1,-8
577,0,1,1,8
578,-1,0,1,-8
579,0,-1,1,8
580,1,0,1,-8
581,0,1,1,8
582,-1,0,1,-8
583,0,-1,1,8
584,1,0,1,-8
585,0,1,1,8
586,-1,0,1,-8
587,0,-1,1,8
588,1,0,1,-8
589,0,1,1,8
590,-1,0,1,-8
591,0,-1,1,8
592,1,0,1,-8
593,0,1,1,8
594,-1,0,1,-8
595,0,-1,1,8
596,1,0,1,-8
597,0,1,1,8
598,-1,0,1,-8
599,0,-1,1,8
600,1,0,1,-8
601,0,1,1,8
602,-1,0,1,-8
603,0,-1,1,8
604,1,0,1,-8
605,0,1,1,8
606,-1,0,1,-8
607,0,-1,1,8
608,1,0,1,-8
609,0,1,1,8
610,-1,0,1,-8
611,0,-1,1,8
612,1,0,1,-8
613,0,1,1,8
614,-1,0,1,-8
615,0,-1,1,8
616,1,0,1,-8
617,0,1,1,8
618,-1,0,1,-8
619,0,-1,1,8
620,1,0,1,-8
621,0,1,1,8
622,-1,0,1,-8
623,0,-1,1,8
624,1,0,1,-8
625,0,1,1,8
626,-1,0,1,-8
627,0,-1,1,8
628,1,0,1,-8
629,0,1,1,8
630,-1,0,1,-8
631,0,-1,1,8
632,1,0,1,-8
633,0,1,1,8
634,-1,0,1,-8
635,0,-1,1,8
636,1,0,1,-8
637,0,1,1,8
638,-1,0,1,-8
639,0,-1,1,8
640,1,0,1,-8
641,0,1,1,8
642,-1,0,1,-8
643,0,-1,1,8
644,1,0,1,-8
645,0,1,1,8
646,-1,0,1,-8
647,0,-1,1,8
648,1,0,1,-8
649,0,1,1,8
650,-1,0,1,-8
651,0,-1,1,8
652,1,0,1,-8
653,0,1,1,8
654,-1,0,1,-8
655,0,-1,1,8
656,1,0,1,-8
657,0,1,1,8
658,-1,0,1,-8
659,0,-1,1,8
660,1,0,1,-8
661,0,1,1,8
662,-1,0,1,-8
663,0,-1,1,8
664,1,0,1,-8
665,0,1,1,8
666,-1,0,1,-8
667,0,-1,1,8
668,1,0,1,-8
669,0,1,1,8
670,-1,0,1,-8
671,0,-1,1,8
672,1,0,1,-8
673,0,1,1,8
674,-1,0,1,-8
675,0,-1,1,8
676,1,0,1,-8
677,0,1,1,8
678,-1,0,1,-8
679,0,-1,1,8
680,1,0,1,-8
681,0,1,1,8
682,-1,0,1,-8
683,0,-1,1,8
684,1,0,1,-65793/8192
685,0,129/128,129/128,66827/8192
686,-131/128,0,131/128,-68919/8192
687,0,-67/64,67/64,71569/8192
688,17/16,0,17/16,-9113/1024
689,0,67/64,67/64,71569/8192
690,-131/128,0,131/128,-68919/8192
691,0,-129/128,129/128,66827/8192
692,1,0,1,-65793/8192
693,0,1,1,8
694,-1,0,1,-8
695,0,-1,1,8
696,1,0,1,-8
697,0,1,1,8
698,-1,0,1,-8
699,0,-1,1,8
700,1,0,1,-8
701,0,1,1,8
702,-1,0,1,-8
703,0,-1,1,8
704,1,0,1,-8
705,0,1,1,8
706,-1,0,1,-8
707,0,-1,1,8
708,1,0,1,-8
709,0,1,1,8
710,-1,0,1,-8
711,0,-1,1,8
712,1,0,1,-8
713,0,1,1,8
714,-1,0,1,-8
715,0,-1,1,8
716,1,0,1,-8
717,0,1,1,8
718,-1,0,1,-8
719,0,-1,1,8
720,1,0,1,-8
721,0,1,1,8
722,-1,0,1,-8
723,0,-1,1,8
724,1,0,1,-8
725,0,1,1,8
726,-1,0,1,-8
727,0,-1,1,8
728,1,0,1,-8
729,0,1,1,8
730,-1,0,1,-8
731,0,-1,1,8
732,1,0,1,-8
733,0,1,1,8
734,-1,0,1,-8
735,0,-1,1,8
736,1,0,1,-8
737,0,1,1,8
738,-1,0,1,-8
739,0,-1,1,8
740,1,0,1,-8
741,0,1,1,8
742,-1,0,1,-8
743,0,-1,1,8
744,1,0,1,-8
745,0,1,1,8
746,-1,0,1,-8
747,0,-1,1,8
748,1,0,1,-8
749,0,1,1,8
750,-1,0,1,-8
751,0,-1,1,8
752,1,0,1,-8
753,0,1,1,8
754,-1,0,1,-8
755,0,-1,1,8
756,1,0,1,-8
757,0,1,1,8
758,-1,0,1,-8
759,0,-1,1,8
760,1,0,1,-8
761,0,1,1,8
762,-1,0,1,-8
763,0,-1,1,8
764,1,0,1,-8
765,0,1,1,8
766,-1,0,1,-8
767,0,-1,1,8
768,1,0,1,-8
769,0,1,1,8
770,-1,0,1,-8
771,0,-1,1,8
772,1,0,1,-8
773,0,1,1,8
774,-1,0,1,-8
775,0,-1,1,8
776,1,0,1,-8
777,0,1,1,8
778,-1,0,1,-8
779,0,-1,1,8
780,1,0,1,-8
781,0,1,1,8
782,-1,0,1,-8
783,0,-1,1,8
784,1,0,1,-8
785,0,1,1,8
786,-1,0,1,-8
787,0,-1,1,8
788,1,0,1,-8
789,0,1,1,8
790,-1,0,1,-8
791,0,-1,1,8
792,1,0,1,-8
793,0,1,1,8
794,-1,0,1,-8
795,0,-1,1,8
796,1,0,1,-8
797,0,1,1,8
798,-1,0,1,-8
799,0,-1,1,8
800,1,0,1,-8
801,0,1,1,8
802,-1,0,1,-8
803,0,-1,1,8
804,1,0,1,-8
805,0,1,1,8
806,-1,0,1,-8
807,0,-1,1,8
808,1,0,1,-8
809,0,1,1,8
810,-1,0,1,-8
811,0,-1,1,8
812,1,0,1,-8
813,0,1,1,8
814,-1,0,1,-8
815,0,-1,1,8
816,1,0,1,-8
817,0,1,1,8
818,-1,0,1,-8
819,0,-1,1,8
820,1,0,1,-8
821,0,1,1,8
822,-1,0,1,-8
823,0,-1,1,8
824,1,0,1,-8
825,0,1,1,8
826,-1,0,1,-8
827,0,-1,1,8
828,1,0,1,-8
829,0,1,1,8
830,-1,0,1,-8
831,0,-1,1,8
832,1,0,1,-8
833,0,1,1,8
834,-1,0,1,-8
835,0,-1,1,8
836,1,0,1,-8
837,0,1,1,8
838,-1,0,1,-8
839,0,-1,1,8
840,1,0,1,-8
841,0,1,1,8
842,-1,0,1,-8
843,0,-1,1,8
844,1,0,1,-8
845,0,1,1,8
846,-1,0,1,-8
847,0,-1,1,8
848,1,0,1,-8
849,0,1,1,8
850,-1,0,1,-8
851,0,-1,1,8
852,1,0,1,-8
853,0,1,1,8
854,-1,0,1,-8
855,0,-1,1,8
856,1,0,1,-8
857,0,1,1,8
858,-1,0,1,-8
859,0,-1,1,8
860,1,0,1,-8
861,0,1,1,8
862,-1,0,1,-8
863,0,-1,1,8
864,1,0,1,-8
865,0,1,1,8
866,-1,0,1,-8
867,0,-1,1,8
868,1,0,1,-8
869,0,1,1,8
870,-1,0,1,-8
871,0,-1,1,8
872,1,0,1,-8
873,0,1,1,8
874,-1,0,1,-8
875,0,-1,1,8
876,1,0,1,-8
877,0,1,1,8
878,-1,0,1,-8
879,0,-1,1,8
880,1,0,1,-8
881,0,1,1,8
882,-1,0,1,-8
883,0,-1,1,8
884,1,0,1,-8
885,0,1,1,8
886,-1,0,1,-8
887,0,-1,1,8
888,1,0,1,-8
889,0,1,1,8
890,-1,0,1,-8
891,0,-1,1,8
892,1,0,1,-8
893,0,1,1,8
894,-1,0,1,-8
895,0,-1,1,8
896,1,0,1,-8
897,0,1,1,8
898,-1,0,1,-8
899,0,-1,1,8
900,1,0,1,-8
901,0,1,1,8
902,-1,0,1,-8
903,0,-1,1,8
904,1,0,1,-8
905,0,1,1,8
906,-1,0,1,-8
907,0,-1,1,8
908,1,0,1,-8
909,0,1,1,8
910,-1,0,1,-8
911,0,-1,1,8
912,1,0,1,-8
913,0,1,1,8
914,-1,0,1,-8
915,0,-1,1,8
916,1,0,1,-8
917,0,1,1,8
918,-1,0,1,-8
919,0,-1,1,8
920,1,0,1,-8
921,0,1,1,8
922,-1,0,1,-8
923,0,-1,1,8
924,1,0,1,-8
925,0,1,1,8
926,-1,0,1,-8
927,0,-1,1,8
928,1,0,1,-8
929,0,1,1,8
930,-1,0,1,-8
931,0,-1,1,8
932,1,0,1,-8
933,0,1,1,8
934,-1,0,1,-8
935,0,-1,1,8
936,1,0,1,-8
937,0,1,1,8
938,-1,0,1,-8
939,0,-1,1,8
940,1,0,1,-8
941,0,1,1,8
942,-1,0,1,-8
943,0,-1,1,8
944,1,0,1,-8
945,0,1,1,8
946,-1,0,1,-8
947,0,-1,1,8
948,1,0,1,-8
949,0,1,1,8
950,-1,0,1,-8
951,0,-1,1,8
952,1,0,1,-8
953,0,1,1,8
954,-1,0,1,-8
955,0,-1,1,8
956,1,0,1,-65793/8192
957,0,129/128,129/128,66827/8192
958,-131/128,0,131/128,-68919/8192
959,0,-67/64,67/64,71569/8192
960,17/16,0,17/16,-9113/1024
961,0,67/64,67/64,71569/8192
962,-131/128,0,131/128,-68919/8192
963,0,-129/128,129/128,66827/8192
964,1,0,1,-65793/8192
965,0,1,1,8
966,-1,0,1,-8
967,0,-1,1,8
968,1,0,1,-8
969,0,1,1,8
970,-1,0,1,-8
971,0,-1,1,8
972,1,0,1,-8
973,0,1,1,8
974,-1,0,1,-8
975,0,-1,1,8
976,1,0,1,-8
977,0,1,1,8
978,-1,0,1,-8
979,0,-1,1,8
980,1,0,1,-8
981,0,1,1,8
982,-1,0,1,-8
983,0,-1,1,8
984,1,0,1,-8
985,0,1,1,8
986,-1,0,1,-8
987,0,-1,1,8
988,1,0,1,-8
989,0,1,1,8
990,-1,0,1,-8
991,0,-1,1,8
992,1,0,1,-8
993,0,1,1,8
994,-1,0,1,-8
995,0,-1,1,8
996,1,0,1,-8
997,0,1,1,8
998,-1,0,1,-8
999,0,-1,1,8
1000,1,0,1,-8
1001,0,1,1,8
1002,-1,0,1,-8
1003,0,-1,1,8
1004,1,0,1,-8
1005,0,1,1,8
1006,-1,0,1,-8
1007,0,-1,1,8
1008,1,0,1,-8
1009,0,1,1,8
1010,-1,0,1,-8
1011,0,-1,1,8
1012,1,0,1,-8
1013,0,1,1,8
1014,-1,0,1,-8
1015,0,-1,1,8
1016,1,0,1,-8
1017,0,1,1,8
1018,-1,0,1,-8
1019,0,-1,1,8
1020,1,0,1,-8
1021,0,1,1,8
1022,-1,0,1,-8
1023,0,-1,1,8
1024,1,0,1,-8
1025,0,1,1,8
1026,-1,0,1,-8
1027,0,-1,1,8
1028,1,0,1,-8
1029,0,1,1,8
1030,-1,0,1,-8
1031,0,-1,1,8
1032,1,0,1,-8
1033,0,1,1,8
1034,-1,0,1,-8
1035,0,-1,1,8
1036,1,0,1,-8
1037,0,1,1,8
1038,-1,0,1,-8
1039,0,-1,1,8
1040,1,0,1,-8
1041,0,1,1,8
1042,-1,0,1,-8
1043,0,-1,1,8
1044,1,0,1,-8
1045,0,1,1,8
1046,-1,0,1,-8
1047,0,-1,1,8
1048,1,0,1,-8
1049,0,1,1,8
1050,-1,0,1,-8
1051,0,-1,1,8
1052,1,0,1,-8
1053,0,1,1,8
1054,-1,0,1,-8
1055,0,-1,1,8
1056,1,0,1,-8
1057,0,1,1,8
1058,-1,0,1,-8
1059,0,-1,1,8
1060,1,0,1,-8
1061,0,1,1,8
1062,-1,0,1,-8
1063,0,-1,1,8
1064,1,0,1,-8
1065,0,1,1,8
1066,-1,0,1,-8
1067,0,-1,1,8
1068,1,0,1,-8
1069,0,1,1,8
1070,-1,0,1,-8
1071,0,-1,1,8
1072,1,0,1,-8
1073,0,1,1,8
1074,-1,0,1,-8
1075,0,-1,1,8
1076,1,0,1,-8
1077,0,1,1,8
1078,-1,0,1,-8
1079,0,-1,1,8
1080,1,0,1,-8
1081,0,1,1,8
1082,-1,0,1,-8
1083,0,-1,1,8
1084,1,0,1,-8
1085,0,1,1,8
1086,-1,0,1,-8
1087,0,-1,1,8
1088,1,0,1,-8
1089,0,1,1,8
1090,-1,0,1,-8
1091,0,-1,1,8
1092,1,0,1,-8
1093,0,1,1,8
1094,-1,0,1,-8
1095,0,-1,1,8
1096,1,0,1,-8
1097,0,1,1,8
1098,-1,0,1,-8
1099,0,-1,1,8
1100,1,0,1,-8
1101,0,1,1,8
1102,-1,0,1,-8
1103,0,-1,1,8
1104,1,0,1,-8
1105,0,1,1,8
1106,-1,0,1,-8
1107,0,-1,1,8
1108,1,0,1,-8
1109,0,1,1,8
1110,-1,0,1,-8
1111,0,-1,1,8
1112,1,0,1,-8
1113,0,1,1,8
1114,-1,0,1,-8
1115,0,-1,1,8
1116,1,0,1,-8
1117,0,1,1,8
1118,-1,0,1,-8
1119,0,-1,1,8
1120,1,0,1,-8
1121,0,1,1,8
1122,-1,0,1,-8
1123,0,-1,1,8
1124,1,0,1,-8
1125,0,1,1,8
1126,-1,0,1,-8
1127,0,-1,1,8
1128,1,0,1,-8
1129,0,1,1,8
1130,-1,0,1,-8
1131,0,-1,1,8
1132,1,0,1,-8
1133,0,1,1,8
1134,-1,0,1,-8
1135,0,-1,1,8
1136,1,0,1,-8
1137,0,1,1,8
1138,-1,0,1,-8
1139,0,-1,1,8
1140,1,0,1,-8
1141,0,1,1,8
1142,-1,0,1,-8
1143,0,-1,1,8
1144,1,0,1,-8
1145,0,1,1,8
1146,-1,0,1,-8
1147,0,-1,1,8
1148,1,0,1,-8
1149,0,1,1,8
1150,-1,0,1,-8
1151,0,-1,1,8
1152,1,0,1,-8
1153,0,1,1,8
1154,-1,0,1,-8
1155,0,-1,1,8
1156,1,0,1,-8
1157,0,1,1,8
1158,-1,0,1,-8
1159,0,-1,1,8
1160,1,0,1,-8
1161,0,1,1,8
1162,-1,0,1,-8
1163,0,-1,1,8
1164,1,0,1,-8
1165,0,1,1,8
1166,-1,0,1,-8
1167,0,-1,1,8
1168,1,0,1,-8
1169,0,1,1,8
1170,-1,0,1,-8
1171,0,-1,1,8
1172,1,0,1,-8
1173,0,1,1,8
1174,-1,0,1,-8
1175,0,-1,1,8
1176,1,0,1,-8
1177,0,1,1,8
1178,-1,0,1,-8
1179,0,-1,1,8
1180,1,0,1,-8
1181,0,1,1,8
1182,-1,0,1,-8
1183,0,-1,1,8
1184,1,0,1,-8
1185,0,1,1,8
1186,-1,0,1,-8
1187,0,-1,1,8
1188,1,0,1,-8
1189,0,1,1,8
1190,-1,0,1,-8
1191,0,-1,1,8
