domain,quantity,sam_form,sam_value,standard_value,std_label,gap_abs,gap_pct,current_sigma_pct,future_sigma_pct,future_detector,timeline,score_current,score_future,status
GW,Schwarzschild fundamental ω_R·M (l=m=2 n=0),d̂/S,0.375,0.37367168,GR (Berti+2009),0.001328319999999994,0.3554778355159251,5.0,0.1,LISA,~2035,0.07109556710318501,3.5547783551592507,ALREADY TESTED PASS
GW,Schwarzschild fundamental ω_I·M (l=m=2 n=0),R/(R²−d̂²),0.08888888888888889,0.08896232,GR (Berti+2009),7.343111111110523e-05,0.08254181220892759,15.0,0.5,LISA,~2035,0.0055027874805951725,0.16508362441785518,ALREADY TESTED PASS
GW,Schwarzschild fundamental Q factor,135/64,2.109375,2.1001682510078425,GR derived,0.009206748992157454,0.43838149575584046,10.0,0.6,LISA,~2035,0.043838149575584046,0.7306358262597341,ALREADY TESTED PASS
GW,"Schwarzschild ω_R·M (l=2 n=1, first overtone)",𝒱/(F−π),0.3467833586663378,0.34671,GR (Berti+2009),7.33586663377861e-05,0.021158508937667242,20.0,0.5,LISA + ET (joint),~2035,0.001057925446883362,0.042317017875334484,ALREADY TESTED PASS
GW,Schwarzschild ω_R·M (l=3 n=0),F/(ℒ−𝒱),0.6,0.59944,GR (Berti+2009),0.0005600000000000049,0.09342052582410332,30.0,1.0,ET / CE,~2035,0.0031140175274701107,0.09342052582410332,ALREADY TESTED PASS
GW,Schwarzschild ω_R·M (l=5 n=0),(ℒ+ĥ)/ℒ,1.0123456790123457,1.01229,GR (Berti+2009),5.567901234582173e-05,0.0055003025166525145,50.0,2.0,ET / CE,~2035,0.00011000605033305029,0.0027501512583262572,ALREADY TESTED PASS
GW,Max radiated fraction E_GW/(M·c²),Θ/R² = 1/8,0.125,0.1227,NR (Hemberger+2013),0.0022999999999999965,1.8744906275468594,5.0,1.0,GWTC-N high-spin events,~2030,0.37489812550937185,1.8744906275468594,ALREADY TESTED PASS
Cosmology,Matter density Ω_m,1/π,0.3183098861837907,0.315,Planck 2018,0.003309886183790689,1.0507575186637108,2.2,0.5,CMB-S4 + DESI,~2030,0.4776170539380503,2.1015150373274216,ALREADY TESTED PASS
Cosmology,Baryon density Ω_b,2·A_0·(1−χ),0.04929901,0.0493,Planck 2018,9.899999999993248e-07,0.0020081135902623223,1.2,0.3,CMB-S4,~2030,0.0016734279918852687,0.006693711967541075,ALREADY TESTED PASS
Cosmology,Hubble constant H_0 (CMB anchor),100·sqrt(ω_b_SAM/Ω_b),67.2503752,67.36,Planck 2018,0.10962480000000596,0.16274465558195658,0.8,0.2,CMB-S4,~2030,0.2034308194774457,0.8137232779097828,ALREADY TESTED PASS
Cosmology,Hubble constant H_0 (distance ladder),100·sqrt(ω_b_SAM/Ω_b),67.2503752,73.04,SH0ES 2022,5.789624800000013,7.926649507119404,1.4,0.5,JWST / Carnegie-Chicago,~2028,5.661892505085289,15.853299014238807,ALREADY DISCRIMINATING
Cosmology,Baryon-photon ratio η,7/(4·(12π)^6),6.09609e-10,6.119e-10,Planck 2018 (CMB),2.291000000000008e-12,0.3744075829383899,1.0,0.5,CMB-S4 + BBN consensus,~2030,0.3744075829383899,0.7488151658767798,ALREADY TESTED PASS
Cosmology,Scalar amplitude A_s,η_SAM·√R,2.1117e-09,2.1e-09,Planck 2018,1.1699999999999867e-11,0.5571428571428507,1.4,0.5,CMB-S4,~2030,0.39795918367346483,1.1142857142857014,ALREADY TESTED PASS
Cosmology,Spectral index n_s,1 − χ/2,0.9646322349,0.9649,Planck 2018,0.00026776509999992815,0.027750554461594794,0.45,0.15,CMB-S4,~2030,0.06166789880354399,0.18500369641063197,ALREADY TESTED PASS
Cosmology,Optical depth τ,2·A_0,0.0530516477,0.0544,Planck 2018,0.0013483522999999942,2.4785887867646954,13.0,5.0,CMB-S4 polarization,~2030,0.19066067590497657,0.4957177573529391,ALREADY TESTED PASS
Cosmology,CMB 100·θ_*,100·r_s(z_*)/D_M(z_*),1.0474,1.0411,Planck 2018,0.006300000000000194,0.6051291902795307,0.029,0.01,CMB-S4,~2030,20.86652380274244,60.51291902795307,ALREADY DISCRIMINATING
Particle,Higgs mass m_H,R²·(1−2⁻ᴰ) − d̂²/R,125.25,125.2,PDG 2024,0.04999999999999716,0.039936102236419455,0.088,0.04,ATLAS/CMS HL-LHC,~2030,0.45381934359567566,0.9984025559104863,ALREADY TESTED PASS
Particle,Proton mass m_p (connection-fee),(R+q+d̂)/R triadic lift,937.96,938.272,PDG 2024,0.3120000000000118,0.03325261757784649,1e-07,1e-08,g-factor measurements,now,332526.17577846494,3325261.7577846493,ALREADY DISCRIMINATING
Neutrino,Splitting ratio Δm²₃₁/Δm²₂₁,((ĥ·d̂)²−1)/(ĥ−1) = 35,35.0,33.895,NuFit 5.2,1.1049999999999969,3.2600678566160104,2.0,0.5,DUNE + Hyper-K,~2030,1.6300339283080052,6.520135713232021,FUTURE-TESTABLE
Neutrino,Sum of neutrino masses Σm_ν,m_1·(1 + √ĥ + ĥ·d̂),0.0713,0.12,Planck 2018 upper bound,0.04869999999999999,40.58333333333333,,25.0,CMB-S4 + DESI,~2028-2030,inf,1.623333333333333,MARGINAL
Galaxy,Halo asymptote X_∞,(R−ĥ)·Ω_m = 10/π,3.183098861837907,3.18,SPARC sample median,0.0030988618379068633,0.09744848546876929,1.0,0.5,next-gen rotation curve surveys,~2030,0.09744848546876929,0.19489697093753858,ALREADY TESTED PASS
