"mapping_id","nv_observable","nv_definition","photonic_equivalent","photonic_definition","structural_basis","public_source_vocabulary","uses_free_knob","falsifier_statement"
"M01","A_leak","1 - Tr(rho^2) over single NV electron spin density matrix","A_leak_photonic = 1 - Tr(rho_AB^2) over two-photon Bell-pair density matrix","Purity loss of post-link two-photon state under fiber decoherence","Standard quantum-information generalization from single-qubit to two-qubit purity loss; no free parameter","Quantum-optics tomography (RFC 9340 entanglement quality; standard quantum-state tomography literature)","False","Two-photon Bell-pair tomography that does NOT produce a purity-loss value matching 1 - Tr(rho_AB^2) within standard tomography uncertainty would falsify the A_leak photonic identification"
"M02","A_side","1/24 warning threshold (= 1/(2*R) with R=12)","A_side = 1/24 (identical, structural threshold from R)","Structural threshold derived from R=12; not platform-specific","CR060a alphabet lock; no fitted value","R = 12 is a SAM primitive; A_side = 1/24 follows structurally","False","Photonic measurements showing the alarm fires consistently at A_leak crossing a value DIFFERENT from 1/24 (i.e., a platform-specific knob) would falsify the threshold mapping"
"M03","A_share","1/12 = 1/R basin-commit boundary","A_share = 1/12 (identical, structural boundary from R)","Structural boundary from R = 12","CR060a alphabet lock; no fitted value","R = 12 is a SAM primitive; A_share = 1/R","False","Photonic measurements showing the basin-commit boundary at a fraction DIFFERENT from 1/R = 1/12 would falsify the boundary mapping"
"M04","T2_equivalent","Electron spin T2 at NV resonant omega ~ 1.8e10 rad/s","tau_ent = entanglement coherence time at photonic omega (e.g. 1.215e15 rad/s at 1550 nm telecom)","Time for entanglement fidelity F(t) to characteristically decay; standard quantum-network metric","Direct application of T2 concept to entanglement coherence; no free parameter","RFC 9340 quantum-network coherence terminology; standard entanglement-decay literature; Qunnect tau_ent reporting","False","A photonic platform reporting tau_ent that does NOT correspond to the characteristic entanglement-fidelity decay time under fiber decoherence would falsify the T2-equivalent mapping"
"M05","t_fire","First time A_leak(t) crosses A_side = 1/24 under T2 decoherence","t_fire_photonic = first time A_leak_photonic(t) crosses A_side = 1/24 under entanglement decay characterized by tau_ent","Same threshold-crossing definition; substitute tau_ent for T2","Identical CR068a alarm formula at photonic omega; no free parameter","CR068a warning-only V1 alarm definition; RFC 9340 quantum-network alarm terminology","False","A photonic measurement where t_fire computed from the predictor (using tau_ent in place of T2) does NOT match observed alarm timing within environmental-noise tolerance would falsify the t_fire mapping (this IS the CR073a load-bearing test)"
"M06","carrier_slot","m_s = 0 spin sublevel; outer slot weight 4/17 (route identity)","Signal-arm photon in protected metro fiber link (DIAMOND-V1-CARRIER per QN015)","Outer slot weight 4/17 preserved; carrier carries route identity","CR060a slot decomposition (weight 1/4 normalized to 4/17); no free parameter","Qunnect metro photonic fiber documentation; Cisco quantum-network whitepapers; QN015 hardware role map","False","A photonic platform where the signal-arm photon carries an envelope-weight 9/17 share of write content (instead of carrier-weight 4/17) would falsify the carrier slot mapping"
"M07","envelope_slot","m_s = +1 spin sublevel; middle slot weight 9/17 (letter content; 9/8 surcharge)","Active polarization/phase compensation channel (DIAMOND-V3-ENVELOPE per QN015)","Middle slot weight 9/17 preserved; envelope carries letter content with the 9/8 surcharge","CR060a slot decomposition (middle weight 9/16 normalized to 9/17); no free parameter","Qunnect active stabilization documentation; Cisco quantum-network compensation references; QN015 hardware role map","False","A photonic platform where the compensation channel carries 0 or carrier-weight share of write content (instead of envelope-weight 9/17) would falsify the envelope slot mapping"
"M08","sensor_slot","m_s = -1 spin sublevel; outer slot weight 4/17 (boundary stress readout)","Boundary timing/drift monitor (DIAMOND-V2-SENSOR per QN015)","Outer slot weight 4/17 preserved; sensor reads boundary stress without exposing carrier route identity","CR060a slot decomposition (weight 1/4 normalized to 4/17); no free parameter","Qunnect boundary monitoring docs; Cisco quantum-network telemetry; QN015 hardware role map","False","A photonic monitor that reads carrier route identity (instead of boundary-pressure-only with weight 4/17) would falsify the sensor slot mapping"
"M09","ledger_node","Spin measurement basis (post-write commit surface)","Delayed-commit Bell-state-analyzer endpoint (DIAMOND-V4-LEDGER per QN015)","Ledger node holds the post-write commit surface; delayed until pre-resolution lock","Direct copy of CR051 commit surface to photonic endpoint; no free parameter","Bell-state analyzer (standard quantum-optics terminology); RFC 9340 entanglement-swap commit; QN015 hardware role map","False","A photonic Bell-state analyzer that commits before pre-resolution lock (no delayed-commit gate) would falsify the ledger node mapping"
"M10","T2_grav_floor","T2_grav = 16*pi*R^4/(17*omega) ~ 3.40 us at NV resonant 2.87 GHz","T2_grav_photonic computed by SAME formula at photonic omega (e.g. ~50.4 ps at 1550 nm telecom)","Same T2_grav v1.1 formula; only omega_drive changes per platform","CR064a T2_grav v1.1 formula applied unchanged; no new parameter","CR064a v1.1 lock; standard photonic operating frequencies; NIST photonic metrology omega references","False","A photonic measurement of entanglement coherence falling BELOW T2_grav at its omega_drive (e.g. tau_ent < 50 ps at 1550 nm) would falsify the T2_grav floor at photonic frequencies"
