falsifier_id,nv_observable,photonic_equivalent,falsifier_statement,testable_by
F_M01,A_leak,A_leak_photonic = 1 - Tr(rho_AB^2) over two-photon Bell-pair density matrix,Two-photon Bell-pair tomography that does NOT produce a purity-loss value matching 1 - Tr(rho_AB^2) within standard tomography uncertainty would falsify the A_leak photonic identification,partner_photonic_lab_quantum_optics_tomography
F_M02,A_side,"A_side = 1/24 (identical, structural threshold from R)","Photonic measurements showing the alarm fires consistently at A_leak crossing a value DIFFERENT from 1/24 (i.e., a platform-specific knob) would falsify the threshold mapping",partner_photonic_lab_quantum_optics_tomography
F_M03,A_share,"A_share = 1/12 (identical, structural boundary from R)",Photonic measurements showing the basin-commit boundary at a fraction DIFFERENT from 1/R = 1/12 would falsify the boundary mapping,partner_photonic_lab_quantum_optics_tomography
F_M04,T2_equivalent,tau_ent = entanglement coherence time at photonic omega (e.g. 1.215e15 rad/s at 1550 nm telecom),A photonic platform reporting tau_ent that does NOT correspond to the characteristic entanglement-fidelity decay time under fiber decoherence would falsify the T2-equivalent mapping,partner_photonic_lab_quantum_optics_tomography
F_M05,t_fire,t_fire_photonic = first time A_leak_photonic(t) crosses A_side = 1/24 under entanglement decay characterized by tau_ent,A photonic measurement where t_fire computed from the predictor (using tau_ent in place of T2) does NOT match observed alarm timing within environmental-noise tolerance would falsify the t_fire mapping (this IS the CR073a load-bearing test),partner_photonic_lab_quantum_optics_tomography
F_M06,carrier_slot,Signal-arm photon in protected metro fiber link (DIAMOND-V1-CARRIER per QN015),A photonic platform where the signal-arm photon carries an envelope-weight 9/17 share of write content (instead of carrier-weight 4/17) would falsify the carrier slot mapping,partner_photonic_lab_quantum_optics_tomography
F_M07,envelope_slot,Active polarization/phase compensation channel (DIAMOND-V3-ENVELOPE per QN015),A photonic platform where the compensation channel carries 0 or carrier-weight share of write content (instead of envelope-weight 9/17) would falsify the envelope slot mapping,partner_photonic_lab_quantum_optics_tomography
F_M08,sensor_slot,Boundary timing/drift monitor (DIAMOND-V2-SENSOR per QN015),A photonic monitor that reads carrier route identity (instead of boundary-pressure-only with weight 4/17) would falsify the sensor slot mapping,partner_photonic_lab_quantum_optics_tomography
F_M09,ledger_node,Delayed-commit Bell-state-analyzer endpoint (DIAMOND-V4-LEDGER per QN015),A photonic Bell-state analyzer that commits before pre-resolution lock (no delayed-commit gate) would falsify the ledger node mapping,partner_photonic_lab_quantum_optics_tomography
F_M10,T2_grav_floor,T2_grav_photonic computed by SAME formula at photonic omega (e.g. ~50.4 ps at 1550 nm telecom),A photonic measurement of entanglement coherence falling BELOW T2_grav at its omega_drive (e.g. tau_ent < 50 ps at 1550 nm) would falsify the T2_grav floor at photonic frequencies,partner_photonic_lab_quantum_optics_tomography
