check_id,historical_pass,counted_as_CR210d_pass
C00_PRECOMMIT_SEAL,True,False
C01_SOURCE_CONTRACT,True,False
C02_SOURCE_NATIVE_FORMULAS,True,False
C03_SOURCE_KIND_TOTALS,True,False
C04_W9_BY_K18_FACTORIZATION,True,False
C05_PARTITION_NONUNIQUENESS,True,False
C06_ROUTE_EDGE_CANDIDATE,True,False
C07_SIX_FIBERS,True,False
C08_CONSTRUCTED_TERNARY_RANK,True,False
C09_H27_FACE_POSET,True,False
C10_PRIOR_SELECTOR_CONTROL,True,False
C11_GRAPH_REPLACEMENT_NOT_ADDITION,True,False
C12_OCTAHEDRAL_AUTOMORPHISMS,True,False
C13_SIDE_REVERSAL,True,False
C14_BOUNDARY_QUOTIENT,False,False
C15_WRONG_CONTROLS,False,False
C16_FIREWALL,True,False
