check_id,expected,observed,pass,significance
C00_PRECOMMIT_SEAL,"{""contract_files"":3,""fresh_gates"":17,""runner_absent_at_seal"":true,""seal_files"":1}","{""all_hashes_match"":true,""contract_files"":3,""fresh_gates"":17,""runner_absent_at_seal"":true,""seal_files"":1}",True,Predictions and controls were immutable before runner construction.
C01_SOURCE_CONTRACT,"{""CR210d_sources"":25,""errors"":0,""historical_checks"":[15,2],""historical_diagnosis"":""missing_modulo_confirmed"",""historical_sources"":20,""historical_validation"":""frozen_FAIL_15_of_17"",""zipper_counts"":{""CR210C_EXECUTION"":35,""CR210C_OUTER_FREEZE"":8,""PSLI_PARENT"":14}}","{""CR210d_sources"":25,""errors"":0,""historical_checks"":[15,2],""historical_diagnosis"":{""adjudication_match"":true,""precommit_match"":true},""historical_sources"":20,""historical_validation"":""CR210c_FAIL_PRECOMMITTED_STRUCTURAL_CHECK"",""zipper_counts"":{""CR210C_EXECUTION"":35,""CR210C_OUTER_FREEZE"":8,""PSLI_PARENT"":14}}",True,The new run starts from exact current bytes while preserving historical status without inheriting its passes.
C02_SOURCE_NATIVE_FORMULAS,"{""missing"":[],""required"":9}","{""missing"":[],""required"":9}",True,Every canonical field is traced directly to the frozen generator source.
C03_SOURCE_KIND_TOTALS,"{""carrier"":18,""ledger_shadow"":18,""matter"":126,""total"":162}","{""carrier"":18,""ledger_shadow"":18,""matter"":126,""total"":162}",True,The full source-native ledger is preserved without deletion or double counting.
C04_W9_BY_K18_FACTORIZATION,"{""block_size"":18,""blocks"":9,""kind_pattern"":[1,7,1],""split"":[12,6]}","{""block_sizes"":[18],""blocks"":9,""kind_counts"":{""carrier"":1,""ledger_shadow"":1,""matter"":7},""splits"":[[12,6]]}",True,The exact candidate address inventory is W9 by K18.
C05_PARTITION_NONUNIQUENESS,"{""fingerprint"":[64,63,7,true,12,6],""rows"":18}","{""fingerprint"":[[64,63,7,true,12,6]],""rows"":18}",True,The representative 12/6 split is admissible but explicitly nonunique.
C06_ROUTE_EDGE_CANDIDATE,"{""edges"":12,""incident"":12,""point_degree"":4,""points"":6,""routes"":12}","{""degrees"":[4],""edges"":12,""incident"":12,""points"":6,""routes"":12}",True,The map is an exact address bijection; physical edge identity remains open.
C07_SIX_FIBERS,"{""each"":[3,21,3,27],""each_side"":81,""fibers"":6}","{""fibers"":6,""rows"":[{""carrier"":3,""dimension"":0,""matter"":21,""shadow"":3,""side"":0,""slot_residue"":0,""total"":27},{""carrier"":3,""dimension"":0,""matter"":21,""shadow"":3,""side"":1,""slot_residue"":3,""total"":27},{""carrier"":3,""dimension"":1,""matter"":21,""shadow"":3,""side"":0,""slot_residue"":4,""total"":27},{""carrier"":3,""dimension"":1,""matter"":21,""shadow"":3,""side"":1,""slot_residue"":1,""total"":27},{""carrier"":3,""dimension"":2,""matter"":21,""shadow"":3,""side"":0,""slot_residue"":2,""total"":27},{""carrier"":3,""dimension"":2,""matter"":21,""shadow"":3,""side"":1,""slot_residue"":5,""total"":27}]}",True,The independent source-native inventory is six exact 27-slot fibers.
C08_CONSTRUCTED_TERNARY_RANK,"{""carrier"":[0,0,1,2],""ledger_shadow"":[0,0,1,2],""matter"":[1,6,10,4]}","""same declared matrix in all six fibers""",True,"Exact rank counts are retained as a constructed address audit, not H27 identity."
C09_H27_FACE_POSET,"{""components"":[27],""degrees"":{""4"":26,""8"":1},""links"":[8,24,24,56],""nodes"":27}","{""components"":[27],""degrees"":{""4"":26,""8"":1},""link_types"":{""cell_face"":8,""edge_point"":24,""face_edge"":24},""links"":56,""nodes"":27}",True,"The graph is exact octahedral combinatorics, not demonstrated Starbreaker dynamics."
