row_id,platform,citation_tag,operating_wavelength_nm,omega_drive_rad_per_s,omega_derived_from_wavelength,omega_consistency_relative_error,tau_ent_observed_s,T2_grav_predicted_s,margin_ratio,residual_seconds,classification,link_class,verify_status,conditions,notes
P01,fiber_entanglement_distribution,Wengerowsky_et_al_2018_PNAS_115_12572,1.530000e+03,1.231000e+15,1.231145e+15,1.176265e-04,1.000000e-03,4.980671e-11,2.007762e+07,1.000000e-03,CONSISTENT_WITH_FLOOR,metro_to_intercity_fiber,PROVISIONAL_AUTHOR_BEST_EFFORT,Vienna 1200 km installed fiber entanglement distribution; tau_ent set by source/PMD stability,Representative entanglement coherence time under PMD-compensated metro fiber [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
P02,free_space_satellite,Yin_et_al_2017_Nature_549_70,8.100000e+02,2.327000e+15,2.325496e+15,6.468461e-04,1.000000e-06,2.634811e-11,3.795338e+04,9.999737e-07,CONSISTENT_WITH_FLOOR,satellite_ground_link,PROVISIONAL_AUTHOR_BEST_EFFORT,Micius satellite Bell test 1200 km free-space; tau_ent set by two-photon coincidence window,Representative satellite-mediated entanglement tau_ent [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
P03,ensemble_quantum_memory,Yu_et_al_2020_Nature_578_240,7.950000e+02,2.371000e+15,2.369373e+15,6.866624e-04,1.000000e-06,2.585916e-11,3.867102e+04,9.999741e-07,CONSISTENT_WITH_FLOOR,two_node_memory_entanglement,PROVISIONAL_AUTHOR_BEST_EFFORT,Two atomic ensembles entangled via fiber; tau_ent set by ensemble memory coherence after swap,Representative two-memory entanglement coherence [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
P04,single_atom_node,Specht_et_al_2011_Nature_473_190,7.800000e+02,2.413000e+15,2.414938e+15,8.024665e-04,1.000000e-04,2.540906e-11,3.935604e+06,9.999997e-05,CONSISTENT_WITH_FLOOR,single_atom_optical_cavity,PROVISIONAL_AUTHOR_BEST_EFFORT,Single Rb atom in cavity; tau_ent set by atomic ground-state Zeeman coherence,Representative single-atom memory tau_ent [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
P05,color_center_photonic_memory,Bhaskar_et_al_2020_Nature_580_60,7.370000e+02,2.555000e+15,2.555837e+15,3.273256e-04,1.000000e-03,2.399689e-11,4.167206e+07,1.000000e-03,CONSISTENT_WITH_FLOOR,SiV_nanophotonic_cryo_memory,PROVISIONAL_AUTHOR_BEST_EFFORT,Cryo SiV center in nanophotonic cavity; tau_ent set by memory T2 at cryo,Representative cryo SiV memory tau_ent [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
P06,fiber_entanglement_distribution,Dynes_et_al_2019_npj_QI_5_101,1.550000e+03,1.215000e+15,1.215259e+15,2.131856e-04,1.000000e-06,5.046260e-11,1.981666e+04,9.999495e-07,CONSISTENT_WITH_FLOOR,field_trial_QKD_network,PROVISIONAL_AUTHOR_BEST_EFFORT,Field-trial QKD network operation; tau_ent set by QKD frame timing,Representative deployed QKD network tau_ent [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
P07,TF_QKD,Pittaluga_et_al_2021_Nat_Photonics_15_530,1.550000e+03,1.215000e+15,1.215259e+15,2.131856e-04,1.000000e-04,5.046260e-11,1.981666e+06,9.999995e-05,CONSISTENT_WITH_FLOOR,twin_field_600_km,PROVISIONAL_AUTHOR_BEST_EFFORT,600 km TF-QKD; tau_ent set by twin-field phase coherence requirement,Representative TF-QKD coherence requirement [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
P08,single_atom_node,Liu_et_al_2020_PRL_124_030501,7.800000e+02,2.413000e+15,2.414938e+15,8.024665e-04,1.000000e-04,2.540906e-11,3.935604e+06,9.999997e-05,CONSISTENT_WITH_FLOOR,two_trapped_atom_33m,PROVISIONAL_AUTHOR_BEST_EFFORT,Two trapped neutral atoms entangled over 33 m fiber; tau_ent set by single-atom memory,Representative two-atom entanglement tau_ent [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
P09,industry_metro_demo,Qunnect_Inc_2024_metro_photonic_demo_representative,1.550000e+03,1.215000e+15,1.215259e+15,2.131856e-04,1.000000e-03,5.046260e-11,1.981666e+07,9.999999e-04,CONSISTENT_WITH_FLOOR,industry_metro_polarization_entanglement,PROVISIONAL_AUTHOR_BEST_EFFORT,Industry reference Qunnect metro polarization-entanglement demo; tau_ent representative of metro stability,Representative industry metro demo tau_ent [VERIFY_PRECOMMIT_AGAINST_QUNNECT_DOCS]
P10,fiber_entanglement_distribution,Sangouard_et_al_2011_RMP_83_33,1.550000e+03,1.215000e+15,1.215259e+15,2.131856e-04,1.000000e-04,5.046260e-11,1.981666e+06,9.999995e-05,CONSISTENT_WITH_FLOOR,heralded_entanglement_review,PROVISIONAL_AUTHOR_BEST_EFFORT,Review reference for typical heralded entanglement coherence in fiber-coupled memories,Representative heralded entanglement coherence from review [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
P11,fiber_entanglement_distribution,Boaron_et_al_2018_PRL_121_190502,1.550000e+03,1.215000e+15,1.215259e+15,2.131856e-04,1.000000e-06,5.046260e-11,1.981666e+04,9.999495e-07,CONSISTENT_WITH_FLOOR,421_km_secure_QKD,PROVISIONAL_AUTHOR_BEST_EFFORT,421 km secure QKD; tau_ent set by detector timing window,Representative long-fiber secure QKD tau_ent [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
P12,industry_metro_demo,Cisco_2023_quantum_networking_whitepaper_representative,1.550000e+03,1.215000e+15,1.215259e+15,2.131856e-04,1.000000e-02,5.046260e-11,1.981666e+08,1.000000e-02,CONSISTENT_WITH_FLOOR,industry_metro_link_stability,PROVISIONAL_AUTHOR_BEST_EFFORT,Industry reference Cisco quantum-networking whitepaper representative metro link stability,Representative industry whitepaper metro stability [VERIFY_PRECOMMIT_AGAINST_CISCO_DOCS]
P13,fiber_entanglement_distribution,Yu_et_al_2022_Sci_Adv_8,1.550000e+03,1.215000e+15,1.215259e+15,2.131856e-04,1.000000e-04,5.046260e-11,1.981666e+06,9.999995e-05,CONSISTENT_WITH_FLOOR,long_distance_entanglement,PROVISIONAL_AUTHOR_BEST_EFFORT,Long-distance entanglement distribution work; tau_ent set by source/memory coherence,Representative long-distance entanglement coherence [VERIFY_PRECOMMIT_AGAINST_PUBLISHED_PAPER]
