png_zone,png_field,constant_generated,generated_value,status
title,SOB79,yes,SOB79,MATCH_NATIVE_ORDINAL
title,Gold,no,,DOWNSTREAM_NAME_NOT_CONSTANT_DERIVED
title,Au-197,partial,A-197,A_GENERATED_SYMBOL_NOT_CONSTANT_DERIVED
element,E / Z=79,yes,E / Z=79,MATCH_NATIVE
particle,"P_79,197",yes,"P_79,197",MATCH_NATIVE
particle,79p + 118n + 79e,yes,79p+118n+79e,MATCH_NATIVE
particle,276u + 315d + 79e,yes,276u+315d+79e,MATCH_NATIVE
kernel,G(P),yes,732.6966145833333333333333333333333333333333333333333333333333333333333333333333333333333333333333333,CURRENT_NATIVE_VALUE
kernel,GR(P)=8G(P),yes,5861.572916666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,CURRENT_NATIVE_VALUE
kernel,GR(P)=7G(P)+G(P),yes,GR(P)=7G(P)+G(P),MATCH_NATIVE_IDENTITY
matter,Matter 196.967,no,A=197,A_GENERATED_MASS_NOT_CONSTANT_DERIVED
clock,stable,no,CONSTANT_HALF_WRITE_LANE,NATIVE_LANE_GENERATED_CLOCK_REFERENCE_NOT_DERIVED
light,shell,yes,shell 5 occupancy 19/32,MATCH_NATIVE
action,closure,yes,closure,MATCH_NATIVE
bottom,A = Z + N = 79 + 118 = 197,yes,A=Z+N=79+118=197,MATCH_NATIVE
