candidate_id,bin,route_class,partition,depth,sign,q_abs,operator_class,closure_status,M_native,qA_source_support,category,pdg_anchor,sam_role,sub_role,sealed_cr_reference,notes
QP093A-0001,stable_matter_rows,single_write,1,0,positive,1,V4_1_SINGLE_WRITE,CLOSED_WRITE,1.25,1.258680555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555555,SAM_ORPHAN,,positron_substrate_slot,positive-charge matter slot at d=0,Vol II.1 §10.5 + CR254,not the PDG positron; substrate address per c₊=5/4
QP093A-0002,stable_matter_rows,single_write,1,0,negative,1,V4_1_SINGLE_WRITE,CLOSED_WRITE,1.5,1.510416666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666,PDG_CANDIDATE,e⁻ candidate,electron_like_minus (Vol II.1 §10.5),first-generation charged lepton slot,Vol II.1 §10.5 + CR254,PDG mapping consistent with identity class; mass-lift derivation not sealed
QP093A-0003,stable_matter_rows,outer_binary_neutral,1,0,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,0.125,0.125,PDG_CANDIDATE,ν eigenstate m₁ candidate,neutrino_like (Vol II.1 §14.7),first neutrino mass eigenstate slot,Vol II.1 §14.7 + CR268,m₁²=1 in CR268 spectrum; Majorana (no antimatter mirror)
QP093A-0004,stable_matter_rows,single_write,2,0,positive,2,V4_1_SINGLE_WRITE,CLOSED_WRITE,2.50,2.534722222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=2, d=0, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0005,stable_matter_rows,single_write,2,0,negative,2,V4_1_SINGLE_WRITE,CLOSED_WRITE,3.0,3.041666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666666667,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=2, d=0, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0006,stable_matter_rows,outer_binary_neutral,2,0,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,0.250,0.250,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=2, d=0",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0007,stable_matter_rows,single_write,3,0,positive,3,V4_1_SINGLE_WRITE,CLOSED_WRITE,3.75,3.828124999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=3, d=0, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0008,stable_matter_rows,single_write,3,0,negative,3,V4_1_SINGLE_WRITE,CLOSED_WRITE,4.5,4.593749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=3, d=0, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
QP093A-0009,stable_matter_rows,outer_binary_neutral,3,0,neutral,0,OUTER_BINARY_NEUTRAL,CLOSED_WRITE,0.375,0.375,SAM_ORPHAN,,neutral_higher_partition,"substrate-native neutral scalar at p=3, d=0",Vol II.1 §10.5 + CR255,no PDG analog; carries qA = p/8 · R^d
QP093A-0010,stable_matter_rows,single_write,4,0,positive,4,V4_1_SINGLE_WRITE,CLOSED_WRITE,5.00,5.138888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888890,SAM_ORPHAN,,quark_like_charged,"substrate quark slot p=4, d=0, matter",Vol II.1 §10.5 + CR254/CR256,individual quark PDG mapping deferred to downstream CR
