row_id,bin,partition_signature,q_abs,q_sign,closure_depth,qA_source_support,identity_rule,conjugate_partner
QP093A-0001,stable_matter_rows,1,1,positive,0,1.258680556,positron_substrate_slot,QP093A-0073
QP093A-0002,stable_matter_rows,1,1,negative,0,1.510416667,electron_like_minus,QP093A-0074
QP093A-0003,stable_matter_rows,1,0,neutral,0,0.125,neutrino_like,
QP093A-0004,stable_matter_rows,2,2,positive,0,2.534722222,quark_like_charged,QP093A-0075
QP093A-0005,stable_matter_rows,2,2,negative,0,3.041666667,quark_like_charged,QP093A-0076
QP093A-0006,stable_matter_rows,2,0,neutral,0,0.25,neutral_higher_partition,
QP093A-0007,stable_matter_rows,3,3,positive,0,3.828125,quark_like_charged,QP093A-0077
QP093A-0008,stable_matter_rows,3,3,negative,0,4.59375,quark_like_charged,QP093A-0078
QP093A-0009,stable_matter_rows,3,0,neutral,0,0.375,neutral_higher_partition,
QP093A-0010,stable_matter_rows,4,4,positive,0,5.138888889,quark_like_charged,QP093A-0079
QP093A-0011,stable_matter_rows,4,4,negative,0,6.166666667,quark_like_charged,QP093A-0080
QP093A-0012,stable_matter_rows,4,0,neutral,0,0.5,neutral_higher_partition,
QP093A-0013,stable_matter_rows,6,6,positive,0,7.8125,quark_like_charged,QP093A-0081
QP093A-0014,stable_matter_rows,6,6,negative,0,9.375,quark_like_charged,QP093A-0082
QP093A-0015,stable_matter_rows,6,0,neutral,0,0.75,neutral_higher_partition,
QP093A-0016,stable_matter_rows,8,8,positive,0,10.55555556,quark_like_charged,QP093A-0083
QP093A-0017,stable_matter_rows,8,8,negative,0,12.66666667,quark_like_charged,QP093A-0084
QP093A-0018,stable_matter_rows,8,0,neutral,0,1,neutral_higher_partition,
QP093A-0019,stable_matter_rows,9,9,positive,0,11.953125,quark_like_charged,QP093A-0085
QP093A-0020,stable_matter_rows,9,9,negative,0,14.34375,quark_like_charged,QP093A-0086
QP093A-0021,stable_matter_rows,9,0,neutral,0,1.125,neutral_higher_partition,
QP093A-0022,stable_matter_rows,12,12,positive,0,16.25,quark_like_charged,QP093A-0087
QP093A-0023,stable_matter_rows,12,12,negative,0,19.5,quark_like_charged,QP093A-0088
QP093A-0024,stable_matter_rows,12,0,neutral,0,1.5,neutral_higher_partition,
QP093A-0025,stable_matter_rows,1,1,positive,1,15.10416667,heavier_positron_substrate_slot,QP093A-0089
QP093A-0026,stable_matter_rows,1,1,negative,1,18.125,heavier_charged_lepton_minus,QP093A-0090
QP093A-0027,stable_matter_rows,1,0,neutral,1,1.5,neutrino_like,
QP093A-0028,stable_matter_rows,2,2,positive,1,30.41666667,quark_like_charged,QP093A-0091
QP093A-0029,stable_matter_rows,2,2,negative,1,36.5,quark_like_charged,QP093A-0092
QP093A-0030,stable_matter_rows,2,0,neutral,1,3,neutral_higher_partition,
QP093A-0031,stable_matter_rows,3,3,positive,1,45.9375,quark_like_charged,QP093A-0093
QP093A-0032,stable_matter_rows,3,3,negative,1,55.125,quark_like_charged,QP093A-0094
QP093A-0033,stable_matter_rows,3,0,neutral,1,4.5,neutral_higher_partition,
QP093A-0034,stable_matter_rows,4,4,positive,1,61.66666667,quark_like_charged,QP093A-0095
QP093A-0035,stable_matter_rows,4,4,negative,1,74,quark_like_charged,QP093A-0096
QP093A-0036,stable_matter_rows,4,0,neutral,1,6,neutral_higher_partition,
QP093A-0037,stable_matter_rows,6,6,positive,1,93.75,quark_like_charged,QP093A-0097
