source_id,path,purpose,exists,expected_status,observed_status,sha256
LC01_LOCK,16_THE_LAST_CAMPAIGN\LC01_primitive_stack_lock.json,Locked primitive stack and LC03 lane registration.,True,LC01_PASS_LOCKED_PRIMITIVE_STACK_AND_REPLAY_REGISTER,LC01_PASS_LOCKED_PRIMITIVE_STACK_AND_REPLAY_REGISTER,7b0877f75e84be7cd809fc083ed737fc1552484a9c525b2f9e307e6eac4bfb30
LC02_SUMMARY,16_THE_LAST_CAMPAIGN\LC02_summary.json,Prior Higgs closed-form lane complete.,True,LC02_PASS_HIGGS_CLOSED_FORM_REPLAY_FROM_LOCKED_PRIMITIVE_STACK,LC02_PASS_HIGGS_CLOSED_FORM_REPLAY_FROM_LOCKED_PRIMITIVE_STACK,c8a17924eca1119e1e7a4b555bbf91ab4a17186607615d8f8390e32615b5c996
CR103a,14_FOUNDATIONAL_TESTS\CR103a_BOUNCE_COST_AND_A_DEPENDENCE_APPEAL\CR103a_summary.json,A-dependent bounce/source discipline.,True,BOUNCE_COST_A_DEPENDENCE_STRUCTURAL_INSIGHT_LOCKED,BOUNCE_COST_A_DEPENDENCE_STRUCTURAL_INSIGHT_LOCKED,f4b95da7350c5ca36a1c29f89af8cfe808ce0c9915a2fab68317b6bcae978a9d
CR114,14_FOUNDATIONAL_TESTS\CR114_BINARY_FACE_STATE_SPLIT_THEOREM\CR114_summary.json,1/8 carrier and 7/8 retained split.,True,CR114_PASS_BINARY_FACE_STATE_SPLIT_THEOREM,CR114_PASS_BINARY_FACE_STATE_SPLIT_THEOREM,e3b1f4aad262c08d1ab6286fc6a14386cc89c32da9e00666f439e52eed47acfb
CR116,14_FOUNDATIONAL_TESTS\CR116_18_GRAVITON_CARRIER_THEOREM\CR116_summary.json,18 carrier-only tensor support.,True,CR116_PASS_18_GRAVITON_CHANNEL_CARRIER_THEOREM,CR116_PASS_18_GRAVITON_CHANNEL_CARRIER_THEOREM,e63c5821b7bb75dac6d975494d73b255aea691c773f4780b4523a0e09ab885ca
CR121,11_QUANTUM_MECHANICS_AND_GRAVITY\CR121_SAM_GRAVITY_MECHANISM_INTAKE\CR121_summary.json,Gravity mechanism intake; qA to A through carrier/ledger compression.,True,CR121_SAM_GRAVITY_MECHANISM_INTAKE_SEALED_NOT_GRAVITON_NOT_FULL_QG_THEOREM,CR121_SAM_GRAVITY_MECHANISM_INTAKE_SEALED_NOT_GRAVITON_NOT_FULL_QG_THEOREM,e8218726efd2a11ad42e702a83a43f37f97e50e2d6308ce9658ad142c21a48d7
CR122,00_governance\CR122_CARRIER_COMPRESSION_GATE_RETROACTIVE_BRIDGE\CR122_summary.json,Carrier compression admission gate with regrade caveat.,True,CR122_CARRIER_COMPRESSION_GATE_RETROACTIVE_BRIDGE_BOUNDARY__REJECTED_DOWNGRADED_TO_DISFAVORED_AT_1_475_SIGMA__MECHANISM_PRESERVED,CR122_CARRIER_COMPRESSION_GATE_RETROACTIVE_BRIDGE_BOUNDARY__REJECTED_DOWNGRADED_TO_DISFAVORED_AT_1_475_SIGMA__MECHANISM_PRESERVED,71e5cae00152f03f8fd77e40245fb928ebe7dd7382c460eb31ab44698fe29d32
CR147,04_PHOTON_ROAD_SHAPIRO_DELAY\CR147_GW170817_A_RELEASE_EM_ORIGIN_DIFFERENTIAL\CR147_summary.json,Dynamic A release boundary and A=1 discipline.,True,CR147_PASS_GW170817_DYNAMIC_A_RELEASE_ENGINE_DIFFERENTIAL_WITH_STATIC_A_INTEGRAL_BOUNDARY,CR147_PASS_GW170817_DYNAMIC_A_RELEASE_ENGINE_DIFFERENTIAL_WITH_STATIC_A_INTEGRAL_BOUNDARY,5e8c0eb2048af41830116f1f1e1f4c8e4c1aee880271223fb6eec5c4145f92b0
CR201,15_SCALE_BRIDGE_SIMULATOR\CR201_SOURCE_TO_FIELD_SIMULATOR_BRIDGE\CR201_summary.json,Source-to-field simulator qA bridge.,True,CR201_PASS_SOURCE_TO_FIELD_SIMULATOR_BRIDGE,CR201_PASS_SOURCE_TO_FIELD_SIMULATOR_BRIDGE,5846bb1dcca2cc54cf9e2f6f4c4f069f28d0a217eeb0168d6fb473848d5ca540
CR202,15_SCALE_BRIDGE_SIMULATOR\CR202_TYPED_READOUT_REPRODUCTION\CR202_summary.json,Typed readout reproduction from qA sources.,True,CR202_PASS_TYPED_READOUT_REPRODUCTION,CR202_PASS_TYPED_READOUT_REPRODUCTION,2bba4f271a15e9eac342c8f09d3902efc5d641297ad71a74d7d18aae194ac4b7
