source_id,path,purpose,exists,expected_status,observed_status,sha256
LC01_LOCK,16_THE_LAST_CAMPAIGN\LC01_primitive_stack_lock.json,Locked primitive stack and LC02 lane registration.,True,LC01_PASS_LOCKED_PRIMITIVE_STACK_AND_REPLAY_REGISTER,LC01_PASS_LOCKED_PRIMITIVE_STACK_AND_REPLAY_REGISTER,7b0877f75e84be7cd809fc083ed737fc1552484a9c525b2f9e307e6eac4bfb30
CR113,14_FOUNDATIONAL_TESTS\CR113_A4_COMPLETED_WRITE_ADDRESS_COUNT_THEOREM\CR113_summary.json,R=12 completed-WRITE address count.,True,CR113_PASS_A4_COMPLETED_WRITE_ADDRESS_COUNT_THEOREM,CR113_PASS_A4_COMPLETED_WRITE_ADDRESS_COUNT_THEOREM,2c2a1a33c9b29d17b002a25d4cd8432691875098a60cd2fa3f1ff5864ea7664e
CR114,14_FOUNDATIONAL_TESTS\CR114_BINARY_FACE_STATE_SPLIT_THEOREM\CR114_summary.json,"1/8 carrier split, 7/8 retained parent, 0.75 surface debit.",True,CR114_PASS_BINARY_FACE_STATE_SPLIT_THEOREM,CR114_PASS_BINARY_FACE_STATE_SPLIT_THEOREM,e3b1f4aad262c08d1ab6286fc6a14386cc89c32da9e00666f439e52eed47acfb
CR115,14_FOUNDATIONAL_TESTS\CR115_D3_INVARIANT_CARRIER_UNIQUENESS_THEOREM\CR115_summary.json,D=3 invariant carrier uniqueness.,True,CR115_PASS_D3_INVARIANT_CARRIER_UNIQUENESS_THEOREM_GATE,CR115_PASS_D3_INVARIANT_CARRIER_UNIQUENESS_THEOREM_GATE,18556fc6e49193cfae7bb1e9107f953e92d545ae648f5518a69298d8c1f70328
CR116,14_FOUNDATIONAL_TESTS\CR116_18_GRAVITON_CARRIER_THEOREM\CR116_summary.json,"18 typed as carrier-only tensor channel, not matter/debit.",True,CR116_PASS_18_GRAVITON_CHANNEL_CARRIER_THEOREM,CR116_PASS_18_GRAVITON_CHANNEL_CARRIER_THEOREM,e63c5821b7bb75dac6d975494d73b255aea691c773f4780b4523a0e09ab885ca
CR104c,14_FOUNDATIONAL_TESTS\CR104c_NINE_SIXTEENTHS_AND_NINE_EIGHTHS_UNIFICATION_APPEAL\CR104c_appeal_lock.json,9/8 and 9/16 D=3 bounce algebra.,True,CR104c_NINE_SIXTEENTHS_AND_NINE_EIGHTHS_UNIFICATION_APPEAL_LOCK,CR104c_NINE_SIXTEENTHS_AND_NINE_EIGHTHS_UNIFICATION_APPEAL_LOCK,06ae7d0f834717cf7832d3eb0044bafe79ab130d0bfcf0390f0bd9693a425115
CR092a,09a_PARTICLE_MASS_CHAIN\CR092a_HZZ4L_SCALAR_PARENT_CLOSED_LOOP_R2_RETENTION_INTAKE\CR092a_summary.json,Earlier Courtroom intake of QP091T/QP091U exact closed form.,True,CR092a_PASS,PASS,21ec0af7a2854d367abe96df621c6c9b5ec01a84630e2211d7c3f904ae2d346e
CR120,09a_PARTICLE_MASS_CHAIN\CR120_QP091_HIGGS_EW_PRECISION_ITERATIVE_REFINEMENT_INTAKE\CR120_summary.json,Public Higgs bridge with preserved audit caveat and provenance repair.,True,BOUNDARY_WITH_PROVENANCE_FIX,BOUNDARY_WITH_PROVENANCE_FIX,887f9ca58dde323f1c0a53cd1c05e3f3a6be6cf1315f3b32c9419799cb726179
QP091T,C:\VS\quantum_phase\artifacts\qp091t\qp091t_summary.json,Closed-loop R2 retention and surface-debit derivation.,True,PASS_QP091T_CLOSED_LOOP_R2_RETENTION,PASS_QP091T_CLOSED_LOOP_R2_RETENTION__H_NATIVE_126_EXACT__SURFACE_DEBIT_125_25_EXACT__HZZ4L_CATEGORY_1_2_1__QSPLIT_DEMOTED_TO_CONTEXT,8c9fe94dcd80d7e2b10fd8f9dbcd8c152a1fd4009a959018cb94da84153bb3c7
QP091U,C:\VS\quantum_phase\artifacts\qp091u\qp091u_summary.json,QP091T hard freeze and seven wrong-control rejections.,True,PASS_QP091U_QP091T_HARD_FREEZE,PASS_QP091U_QP091T_HARD_FREEZE__WRONG_CONTROLS_D2_D4_R10_R24_NO_DEBIT_D_OVER_R_D2_OVER_R2_REJECTED,b87d85be2149f4bd51daa70bcfe39f7e14fe033fb6c21d50e441a037f8b27ee1
