stage,role,path,expected_sha256,observed_sha256,expected_bytes,observed_bytes,exact_match
before_replay,source_code,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\starbreaker_3d_density_geometry.py,c45517f1a6c8bf86504edc304252c4ebf9029f366e42d607bb33d00cbd729cd4,c45517f1a6c8bf86504edc304252c4ebf9029f366e42d607bb33d00cbd729cd4,47127,47127,True
before_replay,source_runner,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\run_starbreaker_3d_density_geometry.py,fd9617a1c74c9495e476b465263acbd92cce8610db69d8f70db8da407925a664,fd9617a1c74c9495e476b465263acbd92cce8610db69d8f70db8da407925a664,9760,9760,True
before_replay,source_tests,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\tests\test_starbreaker_3d_density_geometry.py,2bc12719c6daa6c430a51c821d3e1215f7a6c92c2787c191c8047c16129ca3e0,2bc12719c6daa6c430a51c821d3e1215f7a6c92c2787c191c8047c16129ca3e0,3393,3393,True
before_replay,source_code,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\starbreaker_external_collapse_contact.py,43e205330ffa613f4a94c7b1ec6ca7b837a32c02f07aed0d88ca401587ec319f,43e205330ffa613f4a94c7b1ec6ca7b837a32c02f07aed0d88ca401587ec319f,19093,19093,True
before_replay,source_runner,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\run_starbreaker_external_collapse_contact.py,1374ac0c4cfe838c391b93d4119e89fe0b16e5cadf77dd1849ff1ef7409a0060,1374ac0c4cfe838c391b93d4119e89fe0b16e5cadf77dd1849ff1ef7409a0060,17355,17355,True
before_replay,source_tests,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_EXTERNAL_COLLAPSE_CONTACT\tests\test_starbreaker_external_collapse_contact.py,0cb4bf33f1bef43e320582bf70d49e71c94fc46df71547818c71e6ccd1c9593e,0cb4bf33f1bef43e320582bf70d49e71c94fc46df71547818c71e6ccd1c9593e,3357,3357,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\STARBREAKER_3D_DENSITY_GEOMETRY_REPORT.md,5dcfeb6dd3179763dfe9ab9f14123da615bedb03448af16824d8317c6942ffd5,5dcfeb6dd3179763dfe9ab9f14123da615bedb03448af16824d8317c6942ffd5,6058,6058,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_density_geometry_summary.json,523118a315235a760a64ba533d175d0da1cf50b35d345f930a5c5bfcc23c7b74,523118a315235a760a64ba533d175d0da1cf50b35d345f930a5c5bfcc23c7b74,34497,34497,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_density_runs.csv,fe0236f419b93d6d64f9e32ac7cb978ccd13dee054cb64c0bed7f71b22a70857,fe0236f419b93d6d64f9e32ac7cb978ccd13dee054cb64c0bed7f71b22a70857,88758,88758,True
before_replay,pre_replay_output,C:\VS\The_Basement\15_SCALE_BRIDGE_SIMULATOR\STARBREAKER_3D_DENSITY_GEOMETRY\outputs\starbreaker_3d_effect_summary.csv,4e7aab6a24d1ca606cac799d755a6a117ef728184ed74c0df6f74272a7eed396,4e7aab6a24d1ca606cac799d755a6a117ef728184ed74c0df6f74272a7eed396,5837,5837,True
