order,role_operator,k,shift,q,N,k_expression,k_class,carrier_or_symbol,family,free_parameters_used,residual_percent
1,exterior_surface_delay,15,10,4,73,D * B,EXTERIOR_SURFACE_DELAY,electron (e),charged lepton,0,-0.0100
2,direction_carrier,3,0,-2,63,D,DIRECTION_CARRIER,muon (mu),charged lepton,0,0.0266
3,outside_escape_complement,25,-1,-7,62,B**2,OUTSIDE_ESCAPE_COMPLEMENT,tau (tau),charged lepton,0,-0.0364
4,color_minus_SW_terminal_baryon,27,0,6,63,D ** D,GROUND_BARYON_3BODY_3DIM,proton (uud),baryon,0,0.0442
5,weak_plus_SW_beta_bridge,27,0,5,63,D ** D,GROUND_BARYON_3BODY_3DIM,neutron (udd),baryon,0,0.0708
6,charged_weak_vector,9,-8,4,55,D ** 2,GAUGE_BOSON_RANK_N_TENSOR,W boson (W+/-),gauge vector boson,0,-0.0148
7,neutral_weak_vector,81,-5,-1,58,D ** 4,GAUGE_BOSON_RANK_N_TENSOR,Z boson (Z),gauge vector boson,0,-0.0287
8,higgs_color_complement_scalar,7,-9,3,54,SU3 - U1,GAUGE_BOSON_RANK_N_TENSOR (scalar branch),Higgs (H),scalar boson,0,-0.0250
9,top_heavy_fermion,75,-6,-14,57,D * B**2,GAUGE_BOSON_RANK_N_TENSOR (heavy fermion branch),top quark (t),heavy fermion,0,-0.0160
10,u3u2_composite_SW_depth,13,-2,-16,61,DET_ONE_DIM + U1,NUCLEAR_CLUSTER_U3U2_COMPOSITE,deuteron (pn),nuclear composite,0,-0.0020
11,u3u2_composite_D_depth,13,-3,-12,60,DET_ONE_DIM + U1,NUCLEAR_CLUSTER_U3U2_COMPOSITE,alpha particle (ppnn),nuclear composite,0,-0.0431
12,charged_pion_color_power,128,5,4,68,2 ** (SU3 - U1),CHARGED_PION_COLOR_POWER,charged pion (pi+/-),meson,0,-0.0341
13,neutral_pion_D_b_carrier,15,2,-15,65,D * B,LIGHT_SAME_FLAVOR_PSEUDOSCALAR_PI0,neutral pion (pi0),meson,0,0.0379
14,charged_kaon_D_b_square,225,4,0,67,(D * B) ** 2,CHARGED_KAON_RANK2_LIFT,charged kaon (K+/-),meson,0,0.0174
15,neutral_kaon_color_complement,7,-1,-7,62,SU3 - U1,LIGHT_STRANGE_PSEUDOSCALAR_K0_FAMILY,neutral kaon (K0),meson,0,-0.0545
16,isoresonance_rank2_tensor_baryon,9,-2,16,61,D ** 2,ISORESONANCE_RANK2_TENSOR,"Delta (Delta++/0/-) (uuu, ...)",baryon (isoresonance),0,-0.0512
17,octet_occupation_single_heavy_baryon_strange,8,-2,4,61,SU3_DIM,OCTET_OCCUPATION_SINGLE_HEAVY_BARYON,Lambda (uds),baryon (single-heavy strange),0,0.0448
18,octet_occupation_single_heavy_baryon_charm,8,-3,-8,60,SU3_DIM,OCTET_OCCUPATION_SINGLE_HEAVY_BARYON,Lambda_c (udc),baryon (single-heavy charm),0,-0.3974
19,bookend_layer_bottom_baryon,5,-5,0,58,B,BOOKEND_LAYER_BOTTOM_BARYON,Lambda_b (udb),baryon (single-heavy bottom),0,-0.0299
20,u3u2_composite_tier_d_meson,13,-2,-14,61,DET_ONE_DIM + U1,NUCLEAR_CLUSTER_U3U2_COMPOSITE (extension),D meson (cq),meson (charm),0,-0.0236
21,top_tower_rank2_bookend_b_meson,75,-1,-1,62,D * B ** 2,TOP_TOWER_RANK2_BOOKEND_MESON,B meson (bq),meson (bottom),0,-0.0718
22,light_same_flavor_pseudoscalar_eta_d,243,4,-16,67,D ** B,LIGHT_SAME_FLAVOR_PSEUDOSCALAR_RANKB_EXTENSION,eta (548) (~d_anti_d),meson (light same-flavor),0,-0.0123
23,light_strange_pseudoscalar_eta_prime,7,-2,16,61,B + SW (= SU3 - U1),LIGHT_STRANGE_PSEUDOSCALAR_K0_FAMILY (extension),eta prime (958) (~s_anti_s),meson (light strange),0,-0.0050
24,combined_bookend_octet_doubly_heavy_bc_baryon_sigma,13,-4,6,59,B + SU3_DIM,COMBINED_BOOKEND_OCTET_DOUBLY_HEAVY_BARYON,"Xi_bc^+ / Omega_bcc (1b + nc, Sigma-like)",baryon (doubly-heavy bc),0,4.1534
25,combined_bookend_octet_doubly_heavy_bc_baryon_lambda,13,-4,5,59,B + SU3_DIM,COMBINED_BOOKEND_OCTET_DOUBLY_HEAVY_BARYON,"Xi_bc^0 / Omega_bcs (1b + nc, Lambda-like)",baryon (doubly-heavy bc),0,3.9205
26,multi_heavy_bc_baryon_two_bottom_lambda,18,-4,5,59,2 * B + SU3_DIM,MULTI_HEAVY_BC_BARYON_BOOKEND_LINEAR_OCTET_SATURATED,"Omega_bbc (2b + 1c, Lambda-like)",baryon (multi-heavy bc),0,-1.7715
