isotope,Z,N,A,atomic_mass_u,mass_uncertainty_u,measurement_class,source_table,confidence_lane,notes,Q_mass,Q_sub,dQ,B_u,asym_lhs,asym_rhs,asym_match
H-1,1,0,1,1.00782503207,1.0e-11,direct,AME2020,LANE_A_HARD_MEASURED,hydrogen-1 neutral atom; cyclotron-determined,37.067708333333336,74.01041666666667,-36.942708333333336,-0.00782503206999996,36.818129859257176,36.818129859257176,True
H-2,1,1,2,2.01410177812,1.7e-11,direct,AME2020,LANE_A_HARD_MEASURED,deuterium neutral atom; direct Penning-trap,74.13541666666667,74.13541666666667,0.0,-0.01410177812000013,0.0,0.0,True
H-3,1,2,3,3.0160492779,2.4e-10,direct,AME2020,LANE_A_HARD_MEASURED,tritium neutral atom (radioactive); direct,111.203125,74.26041666666667,36.942708333333336,-0.016049277900000103,12.272709953085727,12.272709953085727,True
He-3,2,1,3,3.01602932008,2.5e-11,direct,AME2020,LANE_A_HARD_MEASURED,helium-3 neutral atom; direct,111.203125,148.14583333333334,-36.942708333333336,-0.01602932007999991,12.272709953085727,12.272709953085727,True
He-4,2,2,4,4.00260325413,6.0e-11,direct,AME2020,LANE_A_HARD_MEASURED,helium-4 neutral atom (symmetric); direct,148.27083333333334,148.27083333333334,0.0,-0.0026032541300002876,0.0,0.0,True
Li-6,3,3,6,6.01512288742,1.5e-10,direct,AME2020,LANE_A_HARD_MEASURED,lithium-6 (symmetric); direct mass-spec,222.40625,222.40625,0.0,-0.015122887419999564,0.0,0.0,True
Li-7,3,4,7,7.01600343428,4.5e-10,direct,AME2020,LANE_A_HARD_MEASURED,lithium-7; direct mass-spec,259.4739583333333,222.53125,36.942708333333336,-0.01600343427999995,5.25973283703674,5.25973283703674,True
Be-8,4,4,8,8.0053050979,2.4e-10,evaluated,AME2020,LANE_B_EVALUATED,beryllium-8 (symmetric; short-lived); network-evaluated,296.5416666666667,296.5416666666667,0.0,-0.005305097900000888,0.0,0.0,True
Be-9,4,5,9,9.012183065,8.2e-10,direct,AME2020,LANE_A_HARD_MEASURED,beryllium-9,333.609375,296.6666666666667,36.942708333333336,-0.012183065000000326,4.090903317695242,4.090903317695242,True
B-10,5,5,10,10.0129369541,3.5e-10,direct,AME2020,LANE_A_HARD_MEASURED,boron-10 (symmetric),370.6770833333333,370.6770833333333,0.0,-0.01293695410000062,0.0,0.0,True
B-11,5,6,11,11.0093053645,4.5e-10,direct,AME2020,LANE_A_HARD_MEASURED,boron-11,407.7447916666667,370.8020833333333,36.942708333333336,-0.009305364499999413,3.3471027144779253,3.3471027144779253,True
C-12,6,6,12,12.0,0.0,definition,AME2020,LANE_A_HARD_MEASURED,carbon-12 anchor (exact by AME definition); anchor row,444.8125,444.8125,0.0,0.0,0.0,0.0,True
