dimension,side,kind,ternary_rank,count,status
0,0,carrier,0,0,constructed_address_label_not_source_topology
0,0,carrier,1,0,constructed_address_label_not_source_topology
0,0,carrier,2,1,constructed_address_label_not_source_topology
0,0,carrier,3,2,constructed_address_label_not_source_topology
0,0,matter,0,1,constructed_address_label_not_source_topology
0,0,matter,1,6,constructed_address_label_not_source_topology
0,0,matter,2,10,constructed_address_label_not_source_topology
0,0,matter,3,4,constructed_address_label_not_source_topology
0,0,ledger_shadow,0,0,constructed_address_label_not_source_topology
0,0,ledger_shadow,1,0,constructed_address_label_not_source_topology
0,0,ledger_shadow,2,1,constructed_address_label_not_source_topology
0,0,ledger_shadow,3,2,constructed_address_label_not_source_topology
0,1,carrier,0,0,constructed_address_label_not_source_topology
0,1,carrier,1,0,constructed_address_label_not_source_topology
0,1,carrier,2,1,constructed_address_label_not_source_topology
0,1,carrier,3,2,constructed_address_label_not_source_topology
0,1,matter,0,1,constructed_address_label_not_source_topology
0,1,matter,1,6,constructed_address_label_not_source_topology
0,1,matter,2,10,constructed_address_label_not_source_topology
0,1,matter,3,4,constructed_address_label_not_source_topology
0,1,ledger_shadow,0,0,constructed_address_label_not_source_topology
0,1,ledger_shadow,1,0,constructed_address_label_not_source_topology
0,1,ledger_shadow,2,1,constructed_address_label_not_source_topology
0,1,ledger_shadow,3,2,constructed_address_label_not_source_topology
1,0,carrier,0,0,constructed_address_label_not_source_topology
1,0,carrier,1,0,constructed_address_label_not_source_topology
1,0,carrier,2,1,constructed_address_label_not_source_topology
1,0,carrier,3,2,constructed_address_label_not_source_topology
1,0,matter,0,1,constructed_address_label_not_source_topology
1,0,matter,1,6,constructed_address_label_not_source_topology
1,0,matter,2,10,constructed_address_label_not_source_topology
1,0,matter,3,4,constructed_address_label_not_source_topology
1,0,ledger_shadow,0,0,constructed_address_label_not_source_topology
1,0,ledger_shadow,1,0,constructed_address_label_not_source_topology
1,0,ledger_shadow,2,1,constructed_address_label_not_source_topology
1,0,ledger_shadow,3,2,constructed_address_label_not_source_topology
1,1,carrier,0,0,constructed_address_label_not_source_topology
1,1,carrier,1,0,constructed_address_label_not_source_topology
1,1,carrier,2,1,constructed_address_label_not_source_topology
1,1,carrier,3,2,constructed_address_label_not_source_topology
1,1,matter,0,1,constructed_address_label_not_source_topology
1,1,matter,1,6,constructed_address_label_not_source_topology
1,1,matter,2,10,constructed_address_label_not_source_topology
1,1,matter,3,4,constructed_address_label_not_source_topology
1,1,ledger_shadow,0,0,constructed_address_label_not_source_topology
1,1,ledger_shadow,1,0,constructed_address_label_not_source_topology
1,1,ledger_shadow,2,1,constructed_address_label_not_source_topology
1,1,ledger_shadow,3,2,constructed_address_label_not_source_topology
2,0,carrier,0,0,constructed_address_label_not_source_topology
2,0,carrier,1,0,constructed_address_label_not_source_topology
2,0,carrier,2,1,constructed_address_label_not_source_topology
2,0,carrier,3,2,constructed_address_label_not_source_topology
2,0,matter,0,1,constructed_address_label_not_source_topology
2,0,matter,1,6,constructed_address_label_not_source_topology
2,0,matter,2,10,constructed_address_label_not_source_topology
2,0,matter,3,4,constructed_address_label_not_source_topology
2,0,ledger_shadow,0,0,constructed_address_label_not_source_topology
2,0,ledger_shadow,1,0,constructed_address_label_not_source_topology
2,0,ledger_shadow,2,1,constructed_address_label_not_source_topology
2,0,ledger_shadow,3,2,constructed_address_label_not_source_topology
2,1,carrier,0,0,constructed_address_label_not_source_topology
2,1,carrier,1,0,constructed_address_label_not_source_topology
2,1,carrier,2,1,constructed_address_label_not_source_topology
2,1,carrier,3,2,constructed_address_label_not_source_topology
2,1,matter,0,1,constructed_address_label_not_source_topology
2,1,matter,1,6,constructed_address_label_not_source_topology
2,1,matter,2,10,constructed_address_label_not_source_topology
2,1,matter,3,4,constructed_address_label_not_source_topology
2,1,ledger_shadow,0,0,constructed_address_label_not_source_topology
2,1,ledger_shadow,1,0,constructed_address_label_not_source_topology
2,1,ledger_shadow,2,1,constructed_address_label_not_source_topology
2,1,ledger_shadow,3,2,constructed_address_label_not_source_topology
