trial,seed,X_inf_random,median_log10_ratio,abs_median_log10
0,0,6.405920704482398,0.3034201557363009,0.3034201557363009
1,1,5.167034084532541,0.2100799236726352,0.2100799236726352
2,2,2.6899601290682327,-0.07341555984021168,0.07341555984021168
3,3,0.9479267547218811,-0.5263866215539915,0.5263866215539915
4,4,9.43625544516644,0.47163828626592347,0.47163828626592347
5,5,8.069528945079265,0.4036867810056322,0.4036867810056322
6,6,5.427827079572237,0.2314646006752797,0.2314646006752797
7,7,6.2884451193862025,0.2953818723656843,0.2953818723656843
8,8,3.3370255383950513,0.02019812761903934,0.02019812761903934
9,9,8.715467119303838,0.43712926605021746,0.43712926605021746
10,10,9.564416925326857,0.4774970965933951,0.4774970965933951
11,11,1.3728450074150764,-0.36553989405350384,0.36553989405350384
12,12,2.5831621352736165,-0.09100973667864105,0.09100973667864105
13,13,8.661496111464206,0.4344315120242253,0.4344315120242253
14,14,8.326734857002204,0.4173133331893701,0.4173133331893701
15,15,6.958159342855008,0.339332967209696,0.339332967209696
16,16,5.712476704905714,0.2536630393357646,0.2536630393357646
17,17,8.466240448699224,0.4245291959374687,0.4245291959374687
18,18,4.053127115253971,0.10462882169251357,0.10462882169251357
19,19,4.261750077719682,0.12642657502349655,0.12642657502349655
20,20,2.8727520300385776,-0.044863262505959664,0.044863262505959664
21,21,7.833064129292962,0.3907702794037349,0.3907702794037349
22,22,3.7268344627775534,0.06817870012050593,0.06817870012050593
23,23,6.969937498507906,0.34006748094615463,0.34006748094615463
24,24,3.3696614830262224,0.0244248710161826,0.0244248710161826
25,25,1.6911402089968777,-0.2749817871591093,0.2749817871591093
26,26,4.966829284288554,0.19291783032204757,0.19291783032204757
27,27,7.007588543120175,0.34240719119434804,0.34240719119434804
28,28,8.533155966223362,0.42794828087496617,0.42794828087496617
29,29,0.5954650065052822,-0.7283051581933963,0.7283051581933963
30,30,2.434408167644075,-0.1167680062751251,0.1167680062751251
31,31,9.041400928057119,0.4530743251189557,0.4530743251189557
32,32,1.6864040207102038,-0.2761997737472625,0.2761997737472625
